post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Halton Sportsmen's Association,1,1,1,5125 Steeles Ave W,Milton,Ontario,Canada,L9E 0R6,43.4900237,-79.9290457,905-854-2641,qdceps@gmail.com,N/A,"Sportsmen's association in Milton. Hosts 3D Archery Shoots (e.g., Nov, Dec).","archery, 3D archery, outdoor range, Milton",N/A,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Archers of Caledon,1,1,1,15595 Shaws Creek Rd,Caledon,Ontario,Canada,L7C 1V8,43.8654,-79.8711,905-838-0761,info@archersofcaledon.org,archersofcaledon.org,"Established 1956. Indoor (10 lanes, 30m) and outdoor (30-70m, field, 3D) facilities. Lessons available.","archery, traditional archery, 3D archery, indoor archery, outdoor archery, Caledon",N/A,N/A,N/A,N/A,Indoor/Outdoor,N/A,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,"Recurve, Compound, Barebow, Asiatic",N/A,Yes
Archery Canada Centre of Excellence - Cambridge 2022,1,1,1,780 Fountain St S,Cambridge,Ontario,Canada,N3H 4R8,43.386824,-80.385231,zmeil@archerycanada.ca,archerycanada.ca,National training centre for Olympic Recurve. Located at Moyer's Landing. Not a public drop-in range.,"archery, Olympic recurve, training centre, Cambridge",N/A,N/A,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Recurve,N/A,N/A,
Cambridge Archery Club,1,1,1,185 Myers Road,Cambridge,Ontario,Canada,N1R 7H2,43.3409,-80.2978,gregory.cinti@wcdsb.ca,wcdsb.ca,Likely refers to Monsignor Doyle C.S.S. Archery Club. School club offering learning sessions and recreational shooting.,"archery, school club, Cambridge",Wed 6-7pm (Learning), 7pm+ (Recreational) - Seasonal,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A
Galt Sportsmen's Club,1,1,1,6542 Gore Road,Cambridge,Ontario,Canada,N1R 8K2,43.392360,-80.260469,(519) 621-4104,moreinfo@galtsportsmensclub.com,galtsportsmensclub.com,"Founded 1954. Archery, clay target, fishing, shooting ranges. Floodlit practice range (24/7 members). 3D course.","archery, 3D archery, shooting sports, Cambridge",Practice Range: 24/7 (members). 3D Course: 30min before sunrise to 30min after sunset.,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,Yes,N/A,N/A,Yes,Yes,N/A,"Recurve, Compound",N/A,Yes
Stittsville Shooting Ranges,1,1,1,7265 Fernbank Rd,Stittsville,Ontario,Canada,K2S 1B6,45.1372,-76.1357,613-836-3871,info@stittsvilleshootingranges.com,stittsvilleshootingranges.com,"Premier facility. Rifle, shotgun, archery ranges. Online booking recommended.","archery, outdoor archery, shooting range, Stittsville","Wed-Fri 12pm-5pm, Sat-Sun 9am-5pm. Mon-Tue Closed.",N/A,N/A,N/A,Outdoor,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound, Crossbow",N/A,Yes
Bridgeport Rod & Gun Club,1,1,1,1229 Beitz Rd,Breslau,Ontario,Canada,N0B 1M0,43.428,-80.435,(519) 648-2633,membership@brgclub.com,brgclub.com,"Archery, pistol, rifle, trap ranges. Archery range open daily. Field points only.","archery, 3D archery, outdoor archery, Breslau",Daily 30min before sunrise to 30min after sunset,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound",N/A,Yes
Dover Rod & Gun Club,1,1,1,5806 Heron Line,Grande Pointe,Ontario,Canada,N0P 1S0,42.218,-82.258,(519) 351-6102,doverrodandgunclub@gmail.com,doverrodandgunclub.com,"75th anniversary. Indoor and outdoor archery, 3D shoots. Youth and adult programs.","archery, 3D archery, indoor archery, outdoor archery, Grande Pointe","Mon 6:30-8pm (Int/Adv), Tue 6:30-7:30pm (Youth), Wed 6:30-8:30pm (Indoor)",N/A,N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,Yes,N/A,N/A,N/A,Yes,N/A,"Recurve, Compound, Traditional",N/A,Yes
Onaping Falls Archery Club,1,1,1,Ecole Alliance St-Joseph (Winter) / Onaping Falls XC Ski Club (Summer),Chelmsford,Ontario,Canada,P0M 1L0,46.513,-81.096,(705) 855-3238,onapingfallsarcheryclub@hotmail.com,N/A,Indoor and outdoor archery including 3D courses. Winter/Summer locations.,"archery, 3D archery, indoor archery, outdoor archery, Chelmsford",N/A,N/A,N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Ten Point Archery,1,1,1,3450 Hwy 144,Chelmsford,Ontario,Canada,P0M 1L0,46.513,-81.096,(705) 222-0010,info@tenpointarchery.ca,tenpointarchery.ca,"Indoor archery facility with 20-yard air-conditioned range, pro shop, repairs.","archery, indoor archery, pro shop, Chelmsford","Tue-Fri 9am-7pm, Sat 9am-5pm, Sun 11am-5pm, Mon Closed",N/A,20,N/A,Indoor,Yes,No,N/A,No,N/A,N/A,Yes,Yes,N/A,"All bow types, crossbows",Yes,Yes
Chesley Community Archery Club,1,1,1,129 4th Ave SE,Chesley,Ontario,Canada,N0G 1L0,44.295,-81.105,289-700-9906,andy.brandsma@gmail.com,chesleycommunityarcheryclub.ca,Community archery club offering recreational programs at Chesley Community Centre.,"archery, community club, Chesley",Tuesdays 6:30-8:30pm,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,All bow types,Yes,Yes
Collingwood Archery Club,1,1,1,Collingwood,Collingwood,Ontario,Canada,L9Y 5E2,44.499,-80.218,705-445-1976,president@rodandgunclub.ca,collingwoodrodandgunclub.com,Part of Collingwood Rod & Gun Club. Archery facilities available.,"archery, rod and gun, Collingwood","Mon-Wed 9am-9pm, Tue/Thu/Fri/Sat 9am-7pm, Sun 11am-7pm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes
The Archery Place,1,1,1,1398 Hwy 94,Corbeil,Ontario,Canada,P0H 1K0,46.126,-79.4,(705) 752-5853,archeryplace@bell.net,thearcheryplace.com,Formerly Jim-Bows Archery (Corbeil). Archery shop with indoor target range and outdoor 3D course.,"archery, 3D archery, indoor archery, pro shop, Corbeil","Mon-Fri 12pm-5pm, Sat 9am-4pm, Sun Closed",N/A,N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,"Compound, Recurve, Crossbow",N/A,Yes
Wilderness Bowhunters and Archers Association,1,1,1,59 Guillemette Rd,Corbeil,Ontario,Canada,P0H 1K0,46.126,-79.405,(705) 752-3170,ray.sabourin@ontera.net,Contact via phone,Bowhunting and archery association in Corbeil area. Indoor and outdoor archery facilities with target and 3D archery. Member of Archery Ontario.,"archery, 3D archery, indoor archery, outdoor archery, bowhunting, traditional archery, Ontario",N/A,,Indoor and outdoor ranges,Multiple lanes,Indoor/Outdoor,No,Yes,No,N/A,Contact for rates,Contact for details,No,Contact for details,Contact for details,"Recurve, Compound, Traditional",Contact for accessibility details,N/A
South Nation Archery Club,1,1,1,11667 County Road 38 RR#3,Winchester,Ontario,Canada,K0C 2K0,45.0212,-75.3867,(613) 989-2943,info@southnationarchery.com,www.southnationarchery.com,"Professional archery-only pro shop and club with standard indoor 18-meter lanes and outdoor target facility to 70 meters. Serves bowhunters and target archers, coaching from beginners to Olympians. Member of IFAA. Hosts tournaments, leagues, and championships.","archery, target archery, IFAA, competitive archery, pro shop, lessons, tournaments, Ontario","Mon/Wed/Thu/Fri 1pm-9pm, Sat 9am-4pm, Closed Tue/Sun (seasonal hours, outdoor closed winter)",N/A,77,N/A,Both,Yes,No,No,No,N/A,Varies,Yes,Yes,$100+HST per session (6 classes),"Recurve, Compound, Barebow",N/A,Yes
Delhi Archery Club,1,1,1,71 King Street (Delhi District Hungarian Hall),Delhi,Ontario,Canada,N4B 1X7,42.85,-80.5,519-900-3861,N/A,www.belgianhall.ca/clubs/archery/delhi-archery-club,"Pop 'n' Jay archery club (Belgian-style archery) meeting at Delhi District Hungarian Hall. Shoots every Saturday night 8pm-10:30pm from October to May. Participants win money for each 'bird' hit. Prizes given on special shoots (Christmas, Easter). Trophies awarded at annual banquet. Instruction provided for beginners. One of three archery clubs shooting Pop 'n' Jay style at Hungarian Hall.","archery, Pop 'n' Jay, Belgian archery, indoor archery, Ontario",Saturday 8pm-10:30pm (October to May),N/A,N/A,N/A,Indoor,No,No,No,No,N/A,N/A,Yes,Yes,Included,Traditional (Pop 'n' Jay style),N/A,Yes
Delhi Belgian Archery Club,1,1,1,71 King Street (Delhi District Hungarian Hall),Delhi,Ontario,Canada,N4B 1X7,42.85,-80.5,519-582-2460,delhibelgianarcheryclub@gmail.com,www.belgianhall.ca/clubs/archery,"Pop 'n' Jay archery club (Belgian-style archery) meeting at Delhi District Hungarian Hall. Shoots every Wednesday 7pm-9:30pm from October to May. Participants win money for each 'bird' hit. Prizes given on special shoots (Christmas, Easter). Trophies awarded at annual banquet. Instruction provided. Club dates back to 1940s. One of three archery clubs shooting Pop 'n' Jay style at Hungarian Hall.","archery, Pop 'n' Jay, Belgian archery, indoor archery, Ontario",Wednesday 7pm-9:30pm (October to May),N/A,N/A,N/A,Indoor,No,No,No,No,N/A,N/A,Yes,Yes,Included,Traditional (Pop 'n' Jay style),N/A,Yes
Dryden Archery Club,1,1,1,"101 Henderson Road (outdoor), Dryden High School (indoor)",Dryden,Ontario,Canada,P8N 2Z2,49.7833,-92.8367,(807) 216-9102,N/A,www.drydendistrictconservationclub.ca,"Archery program operated by Dryden District Conservation Club Inc. (DDCC). Outdoor archery at club property on Mondays 5:30pm (spring to fall after snow melts). Indoor archery on Tuesdays 6:30-8pm at Dryden High School. Certified archery range. 100% affiliated with OFAH. Equipment includes compound bows, traditional recurves, indigenous longbows, arrows, targets. Funded by OFAH ($10,000) and Dryden Rotary Foundation ($10,000). Youth archery programs available.","archery, youth archery, traditional archery, OFAH, conservation club, Ontario",Outdoor: Mondays 5:30pm (spring-fall). Indoor: Tuesdays 6:30-8pm at Dryden High School (seasonal),N/A,N/A,N/A,Both,No,Yes,No,Yes,N/A,N/A,Yes,Yes,N/A,"Compound, Recurve, Traditional, Longbow",N/A,Yes
Club Tir à l'Arc de Dubreuilville,1,1,1,N/A,Dubreuilville,Ontario,Canada,P0S 1B0,48.3333,-84.5333,705-254-9506,N/A,N/A,Community archery club in Dubreuilville. Organizer: Josée Bouchard. Participates in Archery Ontario indoor competitions. Youth and adult programs available. Club members have competed in provincial competitions.,"archery, indoor archery, community club, Dubreuilville archery",N/A,N/A,N/A,N/A,Indoor,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,N/A
A.I.M - Archers In Muskoka,1,1,1,2845 Highway 60,Dwight,Ontario,Canada,P0A 1H0,45.2400,-79.2900,705-224-9246,archersinmuskoka@hotmail.com,www.facebook.com/groups/archersinmuskoka,"Muskoka-based outdoor archery club offering challenging 3D course. Host to many provincial events and tournaments throughout the season. Memberships available for all ages. Established around 2015. Promotes positive environment for local archers to support and learn from each other. Hosts Ontario 3D Championships and Ontario Outdoor Target Championships. Member-run, community-focused club serving the Muskoka region.","archery, 3D archery, outdoor archery, Muskoka archery, Dwight archery",N/A,N/A,N/A,N/A,Outdoor,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,Yes
Elliot Lake Archery Club,1,1,1,700 Highway 108 North,Elliot Lake,Ontario,Canada,P5A 1A1,46.3833,-82.65,705-734-5077,N/A,N/A,"Archery club operating as part of the Elliot Lake and Area Rod and Gun Club. Outdoor archery facilities including trap, rifle, handgun and blackpowder ranges. Beginner bows and arrows supplied for adults and youth. Contact: Bill McMutt 705-261-3330. Multi-discipline shooting club serving Elliot Lake and surrounding area.","archery, Elliot Lake archery, outdoor sports, rod and gun club",N/A,N/A,N/A,N/A,Outdoor,No,No,No,Yes,$50 per year,N/A,Yes,N/A,N/A,All types,N/A,Yes
Elmira District Rod & Gun,1,1,1,6533 Reid Woods Dr,Elmira,Ontario,Canada,N3B 2Z6,43.5833,-80.5667,519-669-2047,archertoms@bell.net,www.elmirarodandgun.org,"Waterloo region's premiere shooting sports venue with archery facilities. Founded in 1953, incorporated as not-for-profit in 1958. Members-only organization with state-of-the-art shooting ranges, archery courses for 3D and field, picnic areas, and large clubhouse. Preserves natural environment of Buffalo Swamp. One of the largest shooting facilities in Waterloo region. Educational programs and training sessions available. Memberships valid April 1-March 31.","archery, Elmira archery, rod and gun club, shooting sports",N/A,N/A,N/A,N/A,Outdoor,No,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,All types,N/A,Yes
Southern Canadian Archery Club,1,1,1,N/A,Harrow,Ontario,Canada,N0R 1G0,42.0333,-82.9000,N/A,N/A,www.southerncanadianclassic.com,"Event-based archery organization that hosts the annual Southern Canadian Classic 3D archery tournament in Essex County (Harrow area). One of the most popular 3D tournaments in Ontario. Described as 'archery for everyone' with emphasis on inclusive, community-focused events. No permanent facility, but hosts well-regarded tournaments that draw archers from across Ontario.","archery, 3D archery, Essex County archery, tournament archery",Event-based (annual tournament),N/A,N/A,N/A,Outdoor,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,All types,N/A,N/A
Canadian Sportsmens Club,1,1,1,1436 Bertie Street West,Fort Erie,Ontario,Canada,L2A 5S3,42.9167,-79.0167,905-871-6658,nathan.lightheart@hotmail.com,canadiansportsmansclubforterie.weebly.com,Non-profit sportsmen's club promoting conservation in Fort Erie. Outdoor 27-yard trap shooting range set to ATA specifications (CFO licensed). 3D archery facilities. Club operates 52 weeks a year with trap shooting Sundays 11:30am-12pm. Nicely kept small club with welcoming members. Community-focused organization. Best contacted via Facebook page as website not regularly monitored.,"archery, Fort Erie archery, shooting sports, sportsmans club",Sundays 11:30am-12pm (trap shooting),N/A,N/A,N/A,Outdoor,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,Yes
Georgina Archery Club,1,1,1,The ROC (Recreational Outdoor Campus),Georgina,Ontario,Canada,L4P 3G1,44.2987,-79.4362,905-476-4301,eleisure@georgina.ca,www.georgina.ca/roc,"Community-based archery programs offered through Town of Georgina Recreation Services at the ROC (Recreational Outdoor Campus). Multi-amenity 150-acre facility with four-season recreational opportunities. Archery programs for children, youth and adults focusing on safety, proper stance, technique and target practice. No experience or equipment necessary. Programs include evening archery sessions, outdoor survival activities with archery, and multi-week challenge programs. Part of broader outdoor recreation facility with ropes courses, climbing walls, trails, and sports courts.","archery, Georgina archery, community programs, recreation archery",Seasonal programs - check town website for current schedule,N/A,N/A,N/A,Outdoor,No,No,No,No,N/A,Program fees vary,Yes,Yes,Varies by program,All types,Yes,Yes
Rifles and Reels Game & Fish Club,1,1,1,950 Goodwill Drive,Garson,Ontario,Canada,P3L 1E8,46.5285,-80.8176,N/A,N/A,www.riflesandreels.ca,"Self-sufficient, volunteer-run gun club operating since 1968. Registered not-for-profit (OCN 417502) affiliated with OFAH since 1979. Located on 154 acres. Indoor archery range (25 yards) and outdoor archery range (70 yards) with variety of 3D targets and two-story shooting platform. Members-only club operating 365 days/year, 1/2hr before sunrise to 1/2hr after sunset. Promotes safety, education in firearm usage, and conservation practices in hunting and fishing. Also features pistol, rifle, shotgun ranges from 25-200 yards.","archery, gun club, Garson, shooting sports, 3D archery, Ontario","365 days/year, 1/2hr before sunrise to 1/2hr after sunset (members only)",N/A,77,N/A,Both,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound",N/A,Yes
Trailsmen Rod & Gun Club,1,1,1,5948 Desmarais Road,Val Therese,Ontario,Canada,P3P 1S5,46.6631,-81.0081,(705) 897-6556,trailsmen@outlook.com,www.trailsmen.org,"Registered not-for-profit organization (OCN 417502) operated by volunteers since 1979. Affiliated with Ontario Federation of Anglers and Hunters. Features 3D archery range, rifle ranges, and fish hatchery program. Teaches conservation of wildlife, forest, water, fish and ethical hunting. Approximately 80 members. Eight-week mandatory probation period for new members. Volunteers can earn $50 credit toward next year's fees with 10 hours of volunteer time.","archery, 3D archery, gun club, conservation, OFAH, Val Therese",N/A,N/A,N/A,N/A,Outdoor,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound",N/A,Yes
Golden Horseshoe Mounted Archery,1,1,1,N/A,Grimsby,Ontario,Canada,L3M 1C4,43.1976,-79.5678,N/A,mountedarcherycanada@gmail.com,www.facebook.com/GHMountedArchery,"CFMA (Canadian Federation of Mounted Archery) member club based in Southern Ontario. Pursues all styles of mounted archery while emphasizing safety, horsemanship, and FUN. Operated by Kendall Goddard, intermediate level 2 certified coach who participates in national and international mounted archery competitions. Mounted archery involves riding horses at canter and gallop while shooting arrows at targets set at different angles and distances. Training available for those with horse riding and archery experience. Unique warrior sport combining equestrian skills with archery.","mounted archery, horseback archery, CFMA, Grimsby, equestrian archery",By appointment,N/A,N/A,N/A,Outdoor,No,No,No,Yes,N/A,N/A,N/A,Yes,N/A,"Recurve, Traditional",N/A,Yes
Sigma Archery,1,1,1,896 Concession 6 Rd,Virgil (Niagara-on-the-Lake),Ontario,Canada,L0S 1J0,43.1898,-79.1352,905-324-6816,ksmith@sigma-archery.ca,www.sigma-archery.ca,Archery club and outdoor target range located in the Niagara Region. Situated on back acreage of reputable riding facility in beautiful Niagara-on-the-Lake. Offers outdoor target ranges and lessons. Community of authentic individuals supporting each other in their archery journey. Founded by Kirstyn Smith (also practices mounted archery). By appointment only - no walk-ins. 10km/hr speed limit on property. Respect for equestrian facility required. $15 range fee.,"archery, outdoor archery, Niagara, target archery, lessons",By appointment only,N/A,N/A,N/A,Outdoor,No,No,No,No,N/A,$15,N/A,Yes,N/A,"Recurve, Compound",N/A,Yes
Royal City Bowmen,1,1,1,5329 Wellington Road 29,Guelph,Ontario,Canada,N1H 6H7,N/A,N/A,905-617-3217 / 519-803-6604,royalcitybowmen@gmail.com,www.royalcitybowmen.com,"Not-for-profit incorporated 3D archery club operating for 46+ years. Located on 46 acres of forested property rented from Grand River Conservation Authority. Features two 20-target loops (40 3D targets total) plus 40-yard outdoor range open year-round during daylight hours. Approximately 80 members. Members-only club - non-members by invitation or during open events only. Season runs April 1-March 31. Hosts three archery tournaments annually. Archery instruction under supervision of selected club members. Beginner lessons available ($5 for kids). Promotes safe archery experience in wilderness setting with woodland setting. Executive team of 7 people plus directors. Ages 4+. Traditional, compound, and crossbow shooting allowed.","archery, 3D archery, Guelph, traditional archery, compound bow, crossbow",Year-round during daylight hours (members only),N/A,44,N/A,Outdoor,No,Yes,No,Yes,N/A,N/A,N/A,Yes,$5 for kids beginner lessons,"Traditional, Compound, Crossbow",N/A,Yes
York County Bowmen,1,1,1,15887 McCowan Road,Newmarket,Ontario,Canada,L3Y 4W1,44.057,-79.460,Via website,"joinus@yorkcountybowmen.com, school@yorkcountybowmen.com",yorkcountybowmen.com,"Established 1956 (69 years). Premier facility north of Toronto. 50+ acres. 4.9 stars (24 reviews). Members get 24/7/365 access, non-members must contact prior. Facilities: indoor lanes, tool shop, 2 summer 3D courses, 1 winter 3D course, 14 marked field targets, 2 FITA ranges 30-90m. Programs: Archery School 8-week beginners (safety/etiquette/fundamentals/barebow/Olympic recurve/compound), Private Lessons, Youth Development Program ages 12-18 10-week Jan 2026, 2025 Fall Indoor League 10 weeks Oct 13 all bow types. Events: AO 5 Ring Championship Jan 17 2026, AO 10 Ring Championship Feb 14 2026, AC 10 Ring Championship Mar 7 2026, Annual Spring Field Shoot WA format May 3 2026, Trad Swap and Shoot Oct 26 2025. Awards: Bowhunter of Year turkey/bear/moose/deer, Big/Small Game Fests. Informal indoor 3D winter series Jan-Mar every other Sat 6-10pm. Instagram: @yorkcountybowmen.","Newmarket, York Region, indoor, outdoor, 3D, field, FITA, leagues","Members 24/7, Non-members by appointment",,30-90m (FITA ranges),"Multiple indoor lanes, 14 field targets",Indoor/Outdoor,Yes (tool shop),Yes,Yes,Yes (or by appointment),Contact for rates,"Members only, non-members by appointment",Contact for details,Yes,"8-week courses, private lessons","Barebow, Olympic Recurve, Compound, Traditional",Contact for accessibility details,Yes
