"post_title","post_address","post_city","post_region","post_country","post_zip","post_latitude","post_longitude","phone","email","website","post_content","post_tags","business_hours","post_images","range_length_yards","number_of_lanes","facility_type","has_pro_shop","has_3d_course","has_field_course","membership_required","membership_price_adult","drop_in_price","equipment_rental_available","lessons_available","lesson_price_range","bow_types_allowed","accessibility"
"Cowichan Bowmen","3044 Doupe Rd","Duncan","British Columbia","Canada","V9L 6R8","48.748176","-123.708788","(250) 882-3220","president@cowichanbowmen.com","http://cowichanbowmen.com/","Discover the vibrant archery community at **Cowichan Bowmen**, the premier **archery club in Duncan, British Columbia**. Located in the heart of Vancouver Island, our facility at 3044 Doupe Rd offers an exceptional shooting experience for archers of all levels. We pride ourselves on having some of the most comprehensive facilities on the island, including a **10-lane indoor 18m archery range** for year-round practice, a **3-acre outdoor target range**, and a challenging **16-target field course**. Whether you shoot a **compound, recurve, barebow, or traditional bow**, Cowichan Bowmen provides the perfect setting to sharpen your skills.

We are deeply committed to family-friendly sports, hosting dedicated **Family Night drop-in sessions** every Tuesday and Thursday evening. These sessions include equipment rentals and introductory instruction, making it the ideal way for beginners to enter the world of **archery in Duncan**. For younger shooters, we offer a specialized **Junior Olympian Program (JOP)** on Monday nights to foster competitive excellence. If you're looking for professional **archery training on Vancouver Island**, Cowichan Bowmen is your go-to destination. Visit us today to join our passionate community of archers!","Archery club","Family Night (Drop-in): Tue 6-7:15PM, Thu 6-8PM; Members: Year-round access","N/A","10-lane Indoor (18m); 3-acre Outdoor Target; 16-target Field Course","N/A","Indoor/Outdoor","N/A","N/A","Yes","Yes","$150 (Adult) / $200 (Family) / $100 (Senior)","$5.00 (Family Night - Includes Equipment)","Yes (During Family Night)","Yes","Intro Instruction at Family Night; JOP Program (Mon)","Compound, Recurve, Traditional, Barebow","N/A"
"Fernie Rod and Gun Club","Coal Creek Road (Archery Range); Mailing: Box 1448","Fernie","British Columbia","Canada","V0B 1M0","49.4887","-115.0626","(250) 423-3495","president@ferniergc.com","http://www.ferniergc.com","Immerse yourself in the mountain sports lifestyle at **Fernie Rod and Gun Club**, your premier destination for **archery in Fernie, British Columbia**. Established as a hub for outdoor excellence, our club offers versatile facilities that cater to archers throughout the year. Located on Coal Creek Road, we feature a professional **indoor archery range** that is highly popular during the winter months, alongside exciting **outdoor 3D fun shoots** that take place during the summer season. Whether you are a seasoned hunter or a recreational target shooter, our club provides a supportive environment to sharpen your accuracy.

At Fernie Rod and Gun Club, we are dedicated to providing accessible **archery training in the Kootenays**. Our winter indoor programs are designed to keep your skills sharp when the snow falls, and our community events offer a great way for families to engage in the sport. With affordable annual memberships and dedicated range access, we make it easy for residents and visitors to enjoy high-quality **archery in Fernie**. Whether you shoot a **compound or recurve bow**, join us today to experience the best of mountain archery. Visit our website for upcoming shoots and program details!","Archery club","Check Facebook/Website for Events; Winter Indoor Program","N/A","Indoor Range; Outdoor Range (Coal Creek Rd)","N/A","Indoor/Outdoor","N/A","Yes","N/A","Yes","$60 (Adult) / $80 (Family) + $40 Indoor Range Access","N/A (See Membership)","N/A","Yes","N/A","N/A","N/A"
"New Totem Archery Club - Indoor Range","9223 100 St (Indoor); 9169 Jones Subdivision Rd (Outdoor)","Fort St John","British Columbia","Canada","V1J 3X3 ","56.238298","-120.845537","(250) 329-4899 / (250) 785-6866","newtotemarchery@live.com","https://newtotemarchery.net/","Step into the world of precision shooting at **New Totem Archery Club - Indoor Range**, the focal point for **archery in Fort St John, British Columbia**. Conveniently located at 9223 100 St, our facility provides a top-tier **indoor archery range** featuring 20-yard lanes, perfect for year-round practice and skill development. We also offer access to an extensive **outdoor archery course** at Jones Subdivision Road, which includes a professional 20-target 3D course and field ranges spanning 10 to 60 yards. Whether you are a fan of **compound, recurve, traditional, or barebow archery**, New Totem provides the space and community you need to excel.

As a cornerstone of **archery in the Peace region**, we are dedicated to making the sport accessible to everyone. Our club offers basic instruction for new archers and intermediate classes to help you master your technique. With scheduled sessions on Wednesday evenings and Sunday afternoons, and affordable memberships for adults, families, and juniors, **New Totem Archery Club** is the ideal destination for competitive training and recreational fun. Visit us today and discover why we are the premier choice for **archery in Fort St John and Northern BC!**","Indoor/Outdoor","Wed 6:45-8:30 PM; Sun 2-4 PM","N/A","Indoor: 20-yard; Outdoor: 20-target 3D Course & 10-60 yard Field","N/A","Indoor/Outdoor","N/A","Yes","Yes","Yes","$250 (Adult) / $400 (Family) / $120 (Junior)","$10.00","Yes (For New Archers)","Yes","Basic Instruction; Intermediate Classes ($30-$60)","Compound, Recurve, Traditional, Barebow","N/A"
"Kamloops Target Sports Association - Bowbenders","755 Lansdowne St (Indoor); Hillside Dr (Outdoor)","Kamloops","British Columbia","Canada","","","","250-320-0234 / 778-694-6667","admin-assistant@ktsa.ca / archery@ktsa.ca","https://ktsa.ca/","Discover the ultimate shooting experience at **Kamloops Target Sports Association (KTSA) - Bowbenders**, the premier destination for **archery in Kamloops, British Columbia**. Offering a unique dual-facility setup, our club caters to archers of all levels throughout the year. Our **indoor archery range**, located conveniently in downtown Kamloops at 755 Lansdowne St, features 10-lanes (18m) perfect for perfecting your technique regardless of the weather. For those who prefer the great outdoors, our expansive **hillside outdoor range** on Hillside Dr provides a stunning natural backdrop for target practice from dawn until dusk.

Whether you shoot a **compound, recurve, or traditional bow**, KTSA Bowbenders is committed to fostering a supportive community. We offer highly popular **Beginners Introductory Courses** and a dedicated **Junior Archery program** to help new archers build a solid foundation. With competitive membership rates for individuals and families, and accessible drop-in options via digital punchcards, we are the top choice for **archery training in the Thompson-Okanagan region**. Join us today to experience the best of **indoor and outdoor shooting in BC** and become part of Kamloops' thriving archery scene!","Indoor/Outdoor","Indoor: Sun (at SRD K9's facility)","","Indoor: 10-lane (18m); Outdoor Hillside Range","Indoor: Tue 6:30-8:00 PM; Sun 5-9 PM (at SRD K9); Outdoor: Dawn to Dusk","$185.40 (Single) / $226.60 (Family) / $108.15 (Senior)","$6.50 (Adult) / $4.50 (Seniors & Youth) with Digital Punchcard","Yes (Included in Intro Courses)","Beginners Intro ($20-$35); Junior Archery ($80 for 4 weeks)","Yes (KTSA)","","Weekly fee at SRD K9","","Yes (Intro courses)","","No broadheads or crossbows on club targets",""
"The Feathered Fletch Archery School & Range","750 McClure Rd","Kelowna","British Columbia","Canada","V1W 1M3","49.816093","-119.479714","(306) 570-4056","admin@wethinkoutside.com","https://www.thefeatheredfletch.ca/","Elevate your precision and passion at **The Feathered Fletch Archery School & Range**, the premier destination for **archery in Kelowna, British Columbia**. Located at 750 McClure Rd, our facility is more than just a range; it’s a dedicated academy designed to build confidence and accuracy in archers of all skill levels. We specialize in comprehensive **archery lessons in Kelowna**, offering professional instruction for **compound, recurve, and traditional bows**. Whether you are a beginner looking for a foundational workshop or an experienced shooter seeking a scenic **outdoor summer shoot**, our expert-led programs provide the perfect environment for growth.

The Feathered Fletch is renowned for its inclusive atmosphere, hosting unique workshops, summer camps, and group events for up to 30 shooters. Our seasonal **outdoor archery range** sessions offer a beautiful setting for target practice, while our structured full-length courses ensure long-term skill development. With convenient hours from Monday through Saturday and specialized coaching for both youth and adults, we are the leading choice for **archery training in the Okanagan region**. Visit us today and discover why The Feathered Fletch is the top-rated **archery school in BC!**","Sports club","Mon-Sat 8 AM-7 PM; Sun Closed","N/A","Indoor & Outdoor Instruction; Group events up to 30 shooters","N/A","Indoor/Outdoor","N/A","N/A","N/A","No","N/A (Class-based)","$55 (Workshop Drop-in); $15 (Summer Shoots)","Yes","Yes","Full Courses ($245-$280); Summer Shoots ($15); Group Events","Compound, Recurve, Traditional","N/A"
"Kelowna & District Fish & Game Club","4041 Casorso Rd","Kelowna","British Columbia","Canada","V1W 4N6","49.8483","-119.4041","(250) 764-7558","info@kdfgc.org","https://kdfgc.org/","Experience unparalleled shooting variety at **Kelowna & District Fish & Game Club**, a premier destination for **archery in Kelowna, British Columbia**. As one of the largest and most established clubs in the Okanagan, our facility at 4041 Casorso Rd offers a comprehensive archery program for shooters of all disciplines. We feature an impressive array of ranges, including a year-round **indoor archery range**, an expansive **outdoor 3D archery course**, and a dedicated field range. Whether you are a high-performance compound archer or a traditional recursive enthusiast, our club provides the professional setting and community you need.

At Kelowna & District Fish & Game Club, we are committed to fostering the future of the sport through our highly active **Junior Olympian Program (JOP)** and specialized adult archery leagues. Our facilities are designed for year-round utility, with scheduled league nights and public access via guest passes when accompanied by a member. Whether you are training for competition or enjoying a family outing on our scenic 3D trail, our **archery training in Kelowna** is second to none. Visit us today to experience the best **indoor and outdoor shooting in the Okanagan!**","Indoor/Outdoor","Weekdays 9:00AM-8:00PM; Weekends 9:00AM-5:00PM; Indoor scheduled","N/A","Indoor Range; Lower/Upper Ranges; 3D Range; Field Range","N/A","Indoor/Outdoor","N/A","Yes","Yes","Yes","$355 (Adult + Spouse) / $405 (Family) / $65 (Junior)","$25 (Adult Guest) / $5 (Junior Guest) - must be with member","Yes (During JOP/Intro Programs)","Yes","BCAA Adult Archery; BCAA JOP Program","Compound, Recurve, Traditional","N/A"
"Langley Archers","N/A (Transitional - contacting for facility)","Langley","British Columbia","Canada","N/A","N/A","N/A","(604) 328-4461","N/A","https://langleyarchers.wixsite.com/langley-archers","Master the art of the bow with **Langley Archers**, the premier provider of professional **archery training in Langley, British Columbia**. Led by a team of highly experienced and certified instructors, Langley Archers specializes in high-quality **archery lessons** for shooters of all ages and skill levels. Whether you are a beginner looking for an introductory workshop or a competitive shooter seeking advanced coaching for **compound, recurve, or traditional bows**, our structured programs are designed to build a strong foundation of safety, technique, and accuracy.

Currently in a transitional phase to a new permanent facility, Langley Archers continues to offer exceptional mobile and transitional training services throughout the Langley area. We take pride in our versatility, hosting popular **youth archery camps**, intensive workshops, and customized group events. Our group lessons provide a comprehensive two-hour experience that covers the essentials of modern shooting in a supportive environment. For those seeking expert **archery training in the Fraser Valley**, Langley Archers remains the top choice for skill development and personal growth. Contact us today to book your next session!","N/A (Mobile/Transitional)","Contact for lesson availability","N/A","N/A","N/A","Mobile/Transitional","N/A","N/A","N/A","N/A","N/A","N/A","Yes (During lessons)","Yes","$200 (Group Lesson / 2hr); Certified training, camps, and workshops","Compound, Recurve, Traditional","N/A"
"Langley Rod & Gun Club","3854 - 208th Street","Langley","British Columbia","Canada","V3A 4X7","49.1064","-122.6851","(604) 534-3525","manager@lrgc.com / archery.lrgc@gmail.com","http://www.lrgc.com","Experience professional training and versatile facilities at **Langley Rod & Gun Club**, a top-tier destination for **archery in Langley, British Columbia**. Located at 3854 - 208th Street, our club offers a comprehensive environment for archers of all specialties. We pride ourselves on providing both a high-quality **indoor archery range** for year-round practice and an expansive **outdoor archery range** that caters to shooters from dawn until dusk. Whether you shoot a **compound, recurve, or traditional bow**, our facilities are designed to help you achieve peak performance.

Langley Rod & Gun Club is dedicated to building a strong archery community through accessible **beginner archery lessons** and specialized coaching. We offer flexible drop-in options for both members and non-members, with affordable rental equipment available for those new to the sport. With a focus on safety and skill development, our club is the ideal choice for families and individuals looking for **archery training in the Fraser Valley**. Join us today to enjoy professional facilities and expert guidance in a welcoming atmosphere. Visit our website for membership details and lesson schedules!","Indoor/Outdoor","Office: Wed 11-7:30, Fri-Sun 10/11-4:30; Indoor: Sun 5-7 PM & Wed; Outdoor: 9AM-Dusk","N/A","Indoor Archery Range; Outdoor Archery Range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$236.25 (Adult/Family) + insurance","$10.00 (Non-members) / $6.00 (Members drop-in); $8.00/session for members","Yes ($5 for non-members; Free for members)","Yes","Beginner lessons available (contact for arrangement)","Compound, Recurve, Traditional","N/A"
"Maple Ridge Archery Club","11925 Haney Pl (Indoor); 27150 106th Ave (Outdoor)","Maple Ridge","British Columbia","Canada","V2W 1Y6 ","49.2167","-122.5986","N/A","mapleridgearchery@gmail.com","http://www.mapleridgearchery.com","Discover a year-round destination for precision shooting at **Maple Ridge Archery Club**, the premier **archery club in Maple Ridge, British Columbia**. Our club offers a unique seasonal experience, with a professional **indoor archery range** at the Maple Ridge Leisure Centre during the winter months (October – April) and a stunning **outdoor archery range** at Selvey Park during the summer season (May – September). Whether you are a fan of high-performance **compound bows** or traditional **recurve and longbow** shooting, our facilities are designed to accommodate archers of all skill levels.

Maple Ridge Archery Club is a hub for community engagement, offering highly popular **""Try-it Nights""** for beginners and a dedicated **Junior Olympian Program (JOP)** for young aspiring archers. Our structured introductory courses provide a comprehensive foundation in safety and technique, making us the top choice for **archery training in the Fraser Valley**. With flexible membership options and accessible drop-in sessions for non-members, we foster a supportive and inclusive environment. Visit us today to experience the best of **indoor and outdoor shooting in BC!**","Indoor/Outdoor","Indoor: Thu 6:30-8:30 PM, Sun 6:30-8 PM; Outdoor: Tue/Thu 5-8 PM, Sat 8 AM-1 PM","N/A","Indoor Gym Range; Outdoor Park Range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$165 (Adult w/ equipment) / $225 (w/o equipment) / $440 (Family)","$10 (w/ BC Archery) / $15 (Non-member) / $35 (Try-it Night)","Yes (Included in Try-it/Intro)","Yes (JOP)","Introduction to Archery Course ($100); JOP Program; Try-it Nights","Compound, Recurve, Traditional","N/A"
"Ridgedale Rod and Gun Club","35655 Harris Rd","Maple Ridge","British Columbia","Canada","V3G 1R7","49.2326","-122.5123","(604) 826-0552","officeadmin@ridgedale.net / archery@ridgedale.net","https://ridgedale.net/","Elevate your accuracy at **Ridgedale Rod and Gun Club**, a premier facility for **archery in Maple Ridge, British Columbia**. Located at 35655 Harris Rd, our club features an exceptional **outdoor archery range** with targets spanning up to 70 yards, providing the perfect challenge for both competitive and recreational shooters. During the summer months, our members enjoy a professional **3D archery course** set in a beautiful natural landscape. Whether you are a master of the **compound bow** or prefer the tradition of **recurve and longbows**, Ridgedale offers a high-quality environment to hone your skills.

We are deeply committed to the growth of the sport, offering a specialized **""Archery for Beginners"" program** on the fourth Thursday of every month. This program includes expert-led coaching and club-provided equipment, making it the ideal entry point for new archers. With affordable annual memberships and structured weekly practice sessions, we provide the best **archery training in the Fraser Valley region**. Join our active community today to enjoy professional facilities and a dedicated atmosphere for shooting excellence. Visit us at Ridgedale Rod and Gun Club and take your aim to the next level!","Outdoor (Indoor scheduled events)","Office: Tue-Fri 10:30 AM-5:30 PM; Archery Practice: Thu 6:00-8:00 PM","N/A","Outdoor Range (up to 70 yards); 3D Course","N/A","Outdoor","N/A","Yes","N/A","Yes","$165 (Individual) / $190 (Family) / $130 (Senior) + fees","$20 (Adult Guest) / $5 (Junior Guest) - must be with member","Yes ($10 for club bows during beginners program)","Yes","Archery for Beginners (4th Thu of month, 6-7 PM, requires registration)","Compound, Recurve, Traditional","N/A"
