 ,post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available,data_status,,
,Peel Archery Club,1,1,1,225 Fletchers Creek Blvd,Brampton,Ontario,Canada,L6X 0Y7,43.6919702,-79.8000816,N/A,N/A,www.peelarchery.ca,"Peel Archery Club houses Ontario's only 70m indoor target range, making it a premiere training ground for beginners and olympians alike. The facility offers 24/7 member access, tailored lessons for all levels from introductory to high performance, target and 3D league nights, and air gun range. Flexible personalized approach ensures each archer receives attention needed to excel. Member-focused club with fundamental development programs (FunDev) extending 6-8 weeks for continued growth.","archery, indoor archery, 70m range, Olympic training, target archery, lessons, leagues",24/7 member access,N/A,70,N/A,Indoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,"Recurve, Compound, Barebow",N/A,N/A,Complete,,
,Brant Rod & Gun Club,1,1,1,54 Henderson Rd,Brantford,Ontario,Canada,N3R 0B8,43.1204342,-80.4091783,519-752-2053,N/A,brgc.ca,"The Brant Rod & Gun Club features a multi-lane, varied distance archery range located in a forested area behind its fish hatchery. The range accommodates longbows, compound bows, and crossbows, making it accessible to a broad spectrum of archery enthusiasts. Members frequently use the range for recreational shooting and the club occasionally hosts events or lessons, such as opportunities to try revamped targets and different shooting styles. The facility is known for maintaining a natural environment that enhances the experience of outdoor archery practice. It welcomes new members and guests to come and enjoy the archery range as part of broader club activities.","archery, traditional archery, outdoor archery, Brantford",N/A,N/A,N/A,N/A,Outdoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,"Longbow, Compound Bow, Crossbow",N/A,Yes,Complete,,No dedicated club - See Brant Rod & Gun Club
,Brockville District Fish and Game Club,1,1,1,2450 County Road 46,Brockville,Ontario,Canada,K6V 5T3,44.5892241,-75.7455838,613-342-3570,N/A,bdfgc.com,"The Brockville District Fish and Game Club is a well-established shooting sports facility supporting multiple disciplines including archery. The club offers archery facilities for crossbow, compound bow, and recurve shooting. Located on a spacious property, BDFGC provides members with access to outdoor archery ranges and welcomes both experienced archers and newcomers to the sport. The club is part of Ontario's shooting sports community and offers a family-friendly environment for recreational shooting.","archery, outdoor archery, Brockville, shooting sports",N/A,N/A,N/A,N/A,Outdoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"Crossbow, Compound Bow, Recurve",N/A,Yes,Complete,,
,Burlington Rifle and Revolver Club,1,1,1,1540 King Road,Burlington,Ontario,Canada,L7P 5A5,43.3326516,-79.8495285,905-333-5494,brrc.archery@gmail.com,rangeburlington.ca,"Range Burlington, home of the Burlington Rifle and Revolver Club, offers a comprehensive outdoor archery range open year-round, dawn to dusk. The facility features a 3-lane outdoor archery range with distances up to 40 meters and a high backstop. The club welcomes compound and recurve bows up to 70 lbs, as well as crossbows with special training. Range Burlington is registered as an affiliate club under Archery Ontario and offers archery-only memberships. Club bows are available, and NCCP trained coaches provide instruction for new archers. Supervised archery hours include Sunday mornings (weather permitting) with crossbow-specific times on the first Sunday of every month.","archery, outdoor archery, Burlington, shooting sports",Sunday 11am-1pm (weather permitting),N/A,40,3,Outdoor,No,No,No,Yes,$150,N/A,Yes,Yes,N/A,"Compound Bow, Recurve, Crossbow",N/A,Yes,Complete,,
,Halton Sportsmen's Association,1,1,1,5125 Steeles Ave W,Milton,Ontario,Canada,L9E 0R6,43.4900237,-79.9290457,905-854-2641,N/A,N/A,"Halton Sportsmen's archery, 3D archery, outdoor range","archery, 3D archery, outdoor",N/A,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Partial - Needs Additional Details,,Complete
,Burlington Rifle and Revolver Club,1,1,1,1540 King Road,Burlington,Ontario,Canada,L7P 5A5,43.3326516,-79.8495285,905-333-5494,manager@rangeburlington.ca,https://www.rangeburlington.ca,Indoor 50-yard rifle and handgun range with 11 ports. Outdoor 40-yard archery range with 3 lanes. Open 24hrs except maintenance closures.,"archery, rifle, handgun, shooting sports","Open 24hrs except Mon & Fri 7am-11am, Wed 9am-11am. Office: Mon-Fri 10am-2pm",N/A,40,3,Indoor/Outdoor,N/A,No,No,Yes,$150,N/A,Yes,Yes,N/A,"Compound, Recurve up to 70 lbs, Crossbow",N/A,Yes,Complete,,
,The Archers of Caledon,1,1,1,15595 Shaws Creek Rd,Caledon,Ontario,Canada,L7C 1V8,43.8654,-79.8711,905-838-0761,info@archersofcaledon.org,https://archersofcaledon.org/,"Established 1956 archery club in Caledon Hills with indoor and outdoor facilities. Features: heated 30mx15m indoor range (10 lanes), International target range (30-70m), 28-target field course, 3D course, practice range. Offers group classes, private lessons, coaching programs. Facilities include full kitchen, washrooms, observation deck, patio. Affiliated with Archery Ontario and Archery Canada. Hosts Canadian, Ontario and International Championships.","archery, traditional archery, Ontario","Member access with key (outdoor) and fob (indoor). Wed/Thu evenings, Saturdays. Outdoor: April-Sept",,"77 (outdoor), 20 (indoor)","10 (indoor), multiple outdoor",Indoor/Outdoor,N/A,Yes,,Yes,"$403 single, $508 family, $164 student + HST",$50 initiation + $25-50 workshare credit,N/A,Yes,Included,"Recurve, Compound, Barebow, Asiatic",N/A,Yes,Complete,,Complete
,Archery Canada Centre of Excellence - Cambridge 2022,1,1,1,780 Fountain St S,Cambridge,Ontario,Canada,N3H 4R8,,,613-297-5731,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Cambridge Archery Club,1,1,1,Cambridge,Cambridge,Ontario,Canada,N/A,43.3616,-80.3144,N/A,N/A,N/A,"Archery club in Cambridge, Ontario","archery, traditional archery, Ontario",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Complete,,
,Galt Sportsmen's Club,1,1,1,6542 Gore Road,Cambridge,Ontario,Canada,N/A,,,(519) 621-4104,enquiries.scg@gmail.com,https://galtsportsclub.ca,"Galt Sportsmens Club founded in 1954 on 250 acre site with archery, clay target shooting, fishing, and shooting ranges. Offers 3D archery shoots and beginner courses.","archery, 3D archery, shooting sports, fishing, outdoor recreation",N/A,N/A,N/A,N/A,N/A,Outdoor,N/A,Yes,Yes,Yes,N/A,N/A,N/A,Yes,"recurve, compound",,N/A,Complete,N/A,
,Stittsville Shooting Ranges,1,1,1,7265 Fernbank Rd,Stittsville,Ontario,Canada,K2S 1B6,45.1372,-76.1357,613-836-3871,lisa@stittsvilleshootingranges.com,https://stittsvilleshootingranges.com,"Premier shooting facility in Stittsville offering rifle, shotgun (skeet and trap), and archery ranges. Established in 1970. Open to the public on weekends, with membership options available for weekday access.","archery, outdoor archery, shooting range, rifle range, shotgun, skeet, trap, Stittsville, Ottawa","Wed-Fri 12pm-5pm (Members), Sat-Sun 9am-5pm",N/A,Outdoor,Yes,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Yes,,"recurve, compound",,,Complete,,
,Bridgeport Rod & Gun Club,1,1,1,1229 Beitz Rd,Breslau,Ontario,Canada,N0B 1M0,,,(519) 648-2633,contact@brgclub.com,https://brgclub.com,"Bridgeport Rod & Gun Club, founded in 1950, offers archery ranges with standard and 3D targets plus an elevated shooting platform. Also features trap, skeet, rifle, and handgun ranges. One of the best clubs in Waterloo Region.","archery, 3D archery, outdoor archery, shooting, rifle, handgun, trap, skeet, Waterloo, Breslau",N/A,N/A,Outdoor,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"recurve, compound",N/A,N/A,Complete,,
,Dover Rod & Gun Club,1,1,1,5806 Heron Line,Grande Pointe,Ontario,Canada,N0P 1S0,,,(519) 351-6102,jpins@ciaccess.com,https://www.doverrodandgunclub.com,"Dover Rod & Gun Club, celebrating 75th anniversary, features indoor and outdoor archery including 3D shoots, trap shooting, youth programs, and wild game dinners. Archery teachings available Tuesdays 6:30-7:30 PM (September to May).","archery, 3D archery, indoor archery, outdoor archery, trap shooting, youth programs, Dover, Grande Pointe, Chatham",N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"Recurve, Compound, Traditional",N/A,N/A,Complete,,
,Onaping Falls Archery Club,1,1,1,"Ecole Alliance St-Joseph (winter), Onaping Falls Cross-Country Ski Club (summer)",Chelmsford,Ontario,Canada,N/A,,,(705) 855-3238,onapingfallsarcheryclub@hotmail.com,N/A,"Onaping Falls Archery Club offers indoor and outdoor archery including 3D courses. Winter location at Ecole Alliance St-Joseph in Chelmsford, summer location at Onaping Falls Cross-Country Ski Club in Dowling.","archery, 3D archery, indoor archery, outdoor archery, Onaping Falls, Sudbury, Ontario",N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Complete,,
,Ten Point Archery,1,1,1,"3450 Hwy 144, Chelmsford",Chelmsford,Ontario,Canada,P0M 1L0,,,(705) 222-0010,N/A,tenpointarchery.ca,"Indoor archery facility with 20-yard air-conditioned range, archery equipment sales, bow hunting supplies, repairs and tuning, crossbow equipment","archery, traditional archery, Ontario",Indoor/Outdoor: Indoor,"Amenities: Pro shop, equipment rental, repairs, tuning",Membership: Not required,Public_Access: Yes,"Programs: Equipment sales, repairs, lessons","Operating_Hours: Tue-Fri 9am-7pm, Sat 9am-5pm, Sun 11am-5pm, Closed Monday",Range_Type: Indoor archery,Target_Types: Standard targets,Max_Distance: 20 yards,"Bow_Types: All bow types, crossbows",Accessibility: Accessible,Parking: Yes,Lesson: Available,Lesson_Price: N/A,Contact_Name: N/A,n/a,n/a,Complete,,
,Chesley Community Archery Club,1,1,1,129 4th Ave SE,Chesley,Ontario,Canada,N/A,,,289-700-9906,andy.brandsma@gmail.com / ccarcheryc@gmail.com,chesleycommunityarcheryclub.ca,Community archery club offering recreational archery programs. Sessions held Tuesdays 6:30-8:30pm at Chesley Community Centre.,"archery, traditional archery, Ontario",Indoor/Outdoor: Indoor,Amenities: Community hall facility,Membership: Required,Public_Access: Members and guests,"Programs: Weekly shooting sessions, community programs",Operating_Hours: Tuesdays 6:30-8:30pm,Range_Type: Indoor archery,Target_Types: Standard targets,Max_Distance: N/A,Bow_Types: All bow types,Accessibility: Accessible (Community Centre),Parking: Yes,Lesson: Available,Lesson_Price: N/A,Contact_Name: Andy Brandsma,n/a,n/a,Complete,,
,EastHill Archery Club,1,1,1,4131 Hwy 35/115,Orono,Ontario,Canada,N/A,,,(289) 423-4985,andrew_fagan_2@hotmail.com,easthilloutdoors.com,"Indoor archery facility with memberships, walk-ins, lessons, and pro shop services. Open year-round with accessible facilities.","archery, traditional archery, Ontario",Indoor/Outdoor: Indoor,"Amenities: Pro shop, equipment rental, lessons, certified instructors",Membership: Available,Public_Access: Yes (walk-ins and members),"Programs: Private lessons, semi-private lessons, group bookings, equipment sales","Operating_Hours: Mon-Fri 10am-7pm, Sat 9am-3pm",Range_Type: Indoor archery,Target_Types: Standard targets,Max_Distance: N/A,Bow_Types: All bow types,Accessibility: Accessible,Parking: Yes,Lesson: Available,"Lesson_Price: Private $50/hr, Semi-private $75/hr for 2 people",Contact_Name: Don (instructor),n/a,n/a,Complete,,
,Collingwood Archery Club,1,1,1,Collingwood,Collingwood,Ontario,Canada,L9Y 5E2,44.5001,,705-445-1976,,Collingwood Rod & Gun Club,Archery club in Collingwood,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,Complete
,Jim-Bows Archery,1,1,1,"1398 Hwy 94, Corbeil",Corbeil,Ontario,Canada,P0H 1K0,46.1833,,(705) 752-5853,archeryplace@bell.net,"Archery shop with indoor target range and outdoor 3D course. Family-run business (Andy, Renee, Charm & Tikka) celebrating 13 years. Offers compound, recurve, and crossbows for all skill levels - beginner to advanced. Pro shop with gear for target, 3D, field archery, and hunting. Expert advice, repairs, tune-ups, string replacement, and special orders available.","archery, 3D archery, indoor archery, outdoor archery, pro shop, Ontario",Sat 9:00 AM - 4:00 PM,N/A,N/A,N/A,Indoor/Outdoor,Yes,Yes,N/A,N/A,N/A,$10 includes equipment,Yes,Yes,Included,"Compound, Recurve, Crossbow",N/A,Yes,,Partial - Needs Additional Details,,
,Wilderness Bowhunters and Archers Association,1,1,1,Corbeil,Corbeil,Ontario,Canada,,46.1833,,(705) 752-3170,ray.sabourin@ontera.net,"Bowhunting and archery association in Corbeil area. Indoor and outdoor archery facilities with target and 3D archery. Member of Archery Ontario. Located at 59 Guillemette Rd., Corbeil.","archery, 3D archery, indoor archery, outdoor archery, bowhunting, traditional archery, Ontario",N/A,N/A,N/A,N/A,Indoor/Outdoor,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,"Recurve, Compound, Traditional",N/A,N/A,,Partial - Needs Additional Details,,
,South Nation Archery Club,1,1,1,Eastern Ontario,Cornwall,Ontario,Canada,K0C 2K0,45.0212,,(613) 989-2943,info@southnationarchery.com,https://www.southnationarchery.com,"archery, target archery, IFAA, competitive archery, pro shop, lessons, tournaments, Ontario","Wed-Fri 1pm-9pm, Sat 9am-4pm (Summer: June-Oct). Advanced classes Wed/Thu nights Nov-June. Beginner classes Fri 8pm Jan-June",N/A,N/A,N/A,Indoor,Yes,N/A,N/A,N/A,N/A,$100+HST per session (6 classes),Yes,Yes,$100+HST per session,"Recurve, Compound, Barebow",N/A,Yes,,Partial - Needs Additional Details,,
,Delhi Archery Club,1,1,1,71 King Street,Delhi,Ontario,Canada,N4B 1X7,,,519-900-3861,N/A,"Pop 'n' Jay archery club meeting at Hungarian Hall, 71 King Street, Delhi. Shoots every Saturday night 8pm-10:30pm from October to May. Belgian-style archery where participants win money for each 'bird' hit. Prizes given on special shoots (Christmas, Easter). Trophies awarded at annual banquet. Everyone welcome - instruction provided. Contact: Dan Spain / Marlene McCulligh.","archery, Pop 'n' Jay, Belgian archery, indoor archery, Ontario",Saturday 8pm-10:30pm (October to May),N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,,Missing - Needs All Details,,
,Delhi Belgian Archery Club,1,1,1,71 King Street,Delhi,Ontario,Canada,N4B 1X7,,,519-582-2460,delhibelgianarcheryclub@gmail.com,"Pop 'n' Jay archery club (Belgian-style archery) meeting at Delhi District Hungarian Hall, 71 King Street, Delhi. Shoots every Wednesday 7pm-9:30pm from October to May. Participants win money for each 'bird' hit. Prizes given on special shoots (Christmas, Easter). Trophies awarded at annual banquet. Everyone welcome - instruction provided. One of three archery clubs shooting Pop 'n' Jay style at Hungarian Hall. Contact: Mary Ann Pieters / Lisa.","archery, Pop 'n' Jay, Belgian archery, indoor archery, Ontario",Wednesday 7pm-9:30pm (October to May),N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,,Missing - Needs All Details,,
,Dryden Archery Club,1,1,1,Dryden,Dryden,Ontario,Canada,P8N 0A1,49.7833,N/A,N/A,https://drydendistrictconservationclub.ca,"Archery program operated by Dryden District Conservation Club Inc. (DDCC). Outdoor archery at club property: Mondays 5:30pm (spring to fall after snow melts). Indoor archery: Tuesdays 6:30-8pm at Dryden High School. Certified archery range. 100% affiliated with Ontario Federation of Anglers and Hunters (OFAH). $5 million liability insurance. Youth archery programs funded by OFAH ($10,000) and Dryden Rotary Foundation ($10,000). Equipment includes compound bows, traditional recurves, indigenous longbows, arrows, targets. Becoming best-in-class community archery facility.","archery, youth archery, traditional archery, OFAH, conservation club, Ontario",Outdoor: Mondays 5:30pm (spring-fall). Indoor: Tuesdays 6:30-8pm at Dryden High School,N/A,N/A,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,"Compound, Recurve, Traditional, Longbow",N/A,Yes,,Partial - Needs Additional Details,,
,ClubTir 'a l Arc de Dubreuilville,1,1,1,,Dubreuilville,Ontario,Canada,P0S 1B0,,,705-254-9506,N/A,Community archery club in Dubreuilville offering indoor archery programs. Contact Josee Bouchard for membership and practice information.,"archery, indoor archery, community club, Dubreuilville archery",N/A,N/A,N/A,N/A,Indoor,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,N/A,,Missing - Needs All Details,,
,A.I.M - Archers In Muskoka,1,1,1,,Dwight,Ontario,Canada,P0A 1H0,,,705-224-9246 / 705-571-2592,N/A,Muskoka-based archery club located in Dwight offering a challenging 3D course and hosting many events throughout the season. Outdoor range with memberships for all ages.,"archery, 3D archery, outdoor archery, Muskoka archery, Dwight archery",N/A,N/A,N/A,N/A,Outdoor,N/A,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,Yes,,Missing - Needs All Details,,
,Elliot Lake Archery Club,1,1,1,Elliot Lake,Elliot Lake,Ontario,Canada,P5A 1A1,46.3833,-82.65,705-734-5077,N/A,N/A,Elliot Lake archery club operating as part of the Elliot Lake and Area Rod and Gun Club. Offers archery along with other outdoor sports activities.,"archery, Elliot Lake archery, outdoor sports, rod and gun club",N/A,N/A,N/A,N/A,Outdoor,N/A,No,No,Yes,$50 per year,N/A,N/A,N/A,N/A,All types,N/A,Yes,Partial - Needs Additional Details,,
,Elmira District Rod & Gun,1,1,1,,Elmira,Ontario,Canada,N3B 2Z6,,,519-588-4353,archertoms@bell.net,elmirarodandgun.org,Elmira District Rod & Gun Club offering archery along with other shooting sports. Waterloo region's premiere shooting sports venue with archery facilities.,"archery, Elmira archery, rod and gun club, shooting sports",N/A,N/A,N/A,N/A,Outdoor,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,Yes,Missing - Needs All Details,,
,Southern Canadian Archery Club,1,1,1,,Essex,Ontario,Canada,N0R 1G0,,,N/A,N/A,N/A,Southern Canadian Archery Club hosts the annual Southern Canadian Classic 3D archery tournament in Essex County (Harrow area). Event-based archery organization.,"archery, 3D archery, Essex County archery, tournament archery",N/A,N/A,N/A,N/A,Outdoor,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,All types,N/A,N/A,Missing - Needs All Details,,
,Canadian Sportsmens Club,1,1,1,1436 Bertie Street West,Fort Erie,Ontario,Canada,L2A 5S3,,,905-871-6658,nathan.lightheart@hotmail.com,canadian sportsmansclubforterie.weebly.com,The Canadian Sportsman's Club in Fort Erie offers archery along with other shooting sports. Community-focused club with outdoor facilities.,"archery, Fort Erie archery, shooting sports, sportsmans club",N/A,N/A,N/A,N/A,Outdoor,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,All types,N/A,Yes,Partial - Needs Additional Details,,
,Georgina Archery Club,1,1,1,Georgina,Georgina,Ontario,Canada,L4P 3G1,44.2987,-79.4362,905-476-4301,eleisure@georgina.ca,N/A,Georgina Archery programs offered through the Town of Georgina Recreation Services at the ROC (Recreational Outdoor Campus). Community-based archery programs.,"archery, Georgina archery, community programs, recreation archery",N/A,N/A,N/A,N/A,Outdoor,N/A,No,No,No,N/A,N/A,N/A,Yes,N/A,All types,N/A,Yes,Partial - Needs Additional Details,,
,Rifles and Reels Game & Fish Club,1,1,1,950 Goodwill Dr,Garson,ontario,canada,N/A,46.5285,-80.8176,N/A,N/A,https://www.riflesandreels.ca,,"Rifles and Reels is a self-sufficient, volunteer-run gun club operating since 1968 in Garson, ON. Members-only club with indoor and outdoor archery ranges, plus rifle, pistol, and shotgun ranges across 145 acres.",n/a,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound",,yes,Complete,,
