name,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility
Cowichan Bowmen,3044 Doupe Rd,Duncan,British Columbia,Canada,V9L 6R8,48.748176,-123.708788,(250) 882-3220,president@cowichanbowmen.com,http://cowichanbowmen.com/,Archery club on Vancouver Island.,Archery club,"Family Night (Drop-in): Tue 6-7:15PM, Thu 6-8PM; Members: Year-round access",N/A,10-lane Indoor (18m); 3-acre Outdoor Target; 16-target Field Course,N/A,Indoor/Outdoor,N/A,N/A,Yes,Yes,$150 (Adult) / $200 (Family) / $100 (Senior),$5.00 (Family Night - Includes Equipment),Yes (During Family Night),Yes,Intro Instruction at Family Night; JOP Program (Mon),"Compound, Recurve, Traditional, Barebow",N/A
Fernie Rod and Gun Club,Coal Creek Road (Archery Range); Mailing: Box 1448,Fernie,British Columbia,Canada,V0B 1M0,49.4887,-115.0626,(250) 423-3495,president@ferniergc.com,http://www.ferniergc.com,Includes Indoor Archery Range and Outdoor 3D Fun Shoots. Programs in Winter.,Archery club,Check Facebook/Website for Events; Winter Indoor Program,N/A,Indoor Range; Outdoor Range (Coal Creek Rd),N/A,Indoor/Outdoor,N/A,Yes,N/A,Yes,$60 (Adult) / $80 (Family) + $40 Indoor Range Access,N/A (See Membership),N/A,Yes,N/A,N/A,N/A
New Totem Archery Club - Indoor Range,9223 100 St (Indoor); 9169 Jones Subdivision Rd (Outdoor),Fort St John,British Columbia,Canada,V1J 3X3 (Indoor) / V0C 1H0 (Outdoor),56.238298,-120.845537,(250) 329-4899 / (250) 785-6866,newtotemarchery@live.com,https://newtotemarchery.net/,Indoor range (20-yard) and Outdoor range (3D course & 10-60 yard field). Basic instruction provided.,Indoor/Outdoor,Wed 6:45-8:30 PM; Sun 2-4 PM,N/A,Indoor: 20-yard; Outdoor: 20-target 3D Course & 10-60 yard Field,N/A,Indoor/Outdoor,N/A,Yes,Yes,Yes,$250 (Adult) / $400 (Family) / $120 (Junior),$10.00,Yes (For New Archers),Yes,Basic Instruction; Intermediate Classes ($30-$60),"Compound, Recurve, Traditional, Barebow",N/A
Kamloops Target Sports Association - Bowbenders,755 Lansdowne St (Indoor); Hillside Dr (Outdoor),Kamloops,British Columbia,Canada,,,,250-320-0234 / 778-694-6667,admin-assistant@ktsa.ca / archery@ktsa.ca,https://ktsa.ca/,Indoor 18m range downtown and hillside outdoor range. Beginners intro courses available.,Indoor/Outdoor,Indoor: Sun (at SRD K9's facility),,Indoor: 10-lane (18m); Outdoor Hillside Range,Indoor: Tue 6:30-8:00 PM; Sun 5-9 PM (at SRD K9); Outdoor: Dawn to Dusk,$185.40 (Single) / $226.60 (Family) / $108.15 (Senior),$6.50 (Adult) / $4.50 (Seniors & Youth) with Digital Punchcard,Yes (Included in Intro Courses),Beginners Intro ($20-$35); Junior Archery ($80 for 4 weeks),Yes (KTSA),,Weekly fee at SRD K9,,Yes (Intro courses),,No broadheads or crossbows on club targets,
The Feathered Fletch Archery School & Range,750 McClure Rd,Kelowna,British Columbia,Canada,V1W 1M3,49.816093,-119.479714,(306) 570-4056,admin@wethinkoutside.com,https://www.thefeatheredfletch.ca/,Archery school and range offering lessons and open shooting.,Sports club,Mon-Sat 8 AM-7 PM; Sun Closed,N/A,Indoor & Outdoor Instruction; Group events up to 30 shooters,N/A,Indoor/Outdoor,N/A,N/A,N/A,No,N/A (Class-based),$55 (Workshop Drop-in); $15 (Summer Shoots),Yes,Yes,Full Courses ($245-$280); Summer Shoots ($15); Group Events,"Compound, Recurve, Traditional",N/A
Kelowna & District Fish & Game Club,4041 Casorso Rd,Kelowna,British Columbia,Canada,V1W 4N6,49.8483,-119.4041,(250) 764-7558,info@kdfgc.org,https://kdfgc.org/,"Extensive archery facilities including indoor range, 3D course, and field range. Scheduled league nights.",Indoor/Outdoor,Weekdays 9:00AM-8:00PM; Weekends 9:00AM-5:00PM; Indoor scheduled,N/A,Indoor Range; Lower/Upper Ranges; 3D Range; Field Range,N/A,Indoor/Outdoor,N/A,Yes,Yes,Yes,$355 (Adult + Spouse) / $405 (Family) / $65 (Junior),$25 (Adult Guest) / $5 (Junior Guest) - must be with member,Yes (During JOP/Intro Programs),Yes,BCAA Adult Archery; BCAA JOP Program,"Compound, Recurve, Traditional",N/A
Langley Archers,N/A (Transitional - contacting for facility),Langley,British Columbia,Canada,N/A,N/A,N/A,(604) 328-4461,N/A,https://langleyarchers.wixsite.com/langley-archers,"Archery training, lessons, and workshops led by certified instructors. Currently in transition to a new facility.",N/A (Mobile/Transitional),Contact for lesson availability,N/A,N/A,N/A,Mobile/Transitional,N/A,N/A,N/A,N/A,N/A,N/A,Yes (During lessons),Yes,"$200 (Group Lesson / 2hr); Certified training, camps, and workshops","Compound, Recurve, Traditional",N/A
Langley Rod & Gun Club,3854 - 208th Street,Langley,British Columbia,Canada,V3A 4X7,49.1064,-122.6851,(604) 534-3525,manager@lrgc.com / archery.lrgc@gmail.com,http://www.lrgc.com,Comprehensive archery facilities with indoor/outdoor ranges and beginner lessons.,Indoor/Outdoor,"Office: Wed 11-7:30, Fri-Sun 10/11-4:30; Indoor: Sun 5-7 PM & Wed; Outdoor: 9AM-Dusk",N/A,Indoor Archery Range; Outdoor Archery Range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$236.25 (Adult/Family) + insurance,$10.00 (Non-members) / $6.00 (Members drop-in); $8.00/session for members,Yes ($5 for non-members; Free for members),Yes,Beginner lessons available (contact for arrangement),"Compound, Recurve, Traditional",N/A
Maple Ridge Archery Club,11925 Haney Pl (Indoor); 27150 106th Ave (Outdoor),Maple Ridge,British Columbia,Canada,V2W 1Y6 (Outdoor),49.2167,-122.5986,N/A,mapleridgearchery@gmail.com,http://www.mapleridgearchery.com,Indoor shooting at Leisure Centre (Oct-Apr) and Outdoor at Selvey Park (May-Sep). Active JOP program.,Indoor/Outdoor,"Indoor: Thu 6:30-8:30 PM, Sun 6:30-8 PM; Outdoor: Tue/Thu 5-8 PM, Sat 8 AM-1 PM",N/A,Indoor Gym Range; Outdoor Park Range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$165 (Adult w/ equipment) / $225 (w/o equipment) / $440 (Family),$10 (w/ BC Archery) / $15 (Non-member) / $35 (Try-it Night),Yes (Included in Try-it/Intro),Yes (JOP),Introduction to Archery Course ($100); JOP Program; Try-it Nights,"Compound, Recurve, Traditional",N/A
Ridgedale Rod and Gun Club,35655 Harris Rd,Maple Ridge,British Columbia,Canada,V3G 1R7,49.2326,-122.5123,(604) 826-0552,officeadmin@ridgedale.net / archery@ridgedale.net,https://ridgedale.net/,Outdoor archery range up to 70 yards and 3D archery targets in summer. Weekly practice and beginner lessons.,Outdoor (Indoor scheduled events),Office: Tue-Fri 10:30 AM-5:30 PM; Archery Practice: Thu 6:00-8:00 PM,N/A,Outdoor Range (up to 70 yards); 3D Course,N/A,Outdoor,N/A,Yes,N/A,Yes,$165 (Individual) / $190 (Family) / $130 (Senior) + fees,$20 (Adult Guest) / $5 (Junior Guest) - must be with member,Yes ($10 for club bows during beginners program),Yes,"Archery for Beginners (4th Thu of month, 6-7 PM, requires registration)","Compound, Recurve, Traditional",N/A
Bowsmith Archery,Mobile Service (Servicing Vancouver Island/Nanaimo),Nanaimo,British Columbia,Canada,V9R 6X6,49.165884,-123.940065,+12507108944,jordanwm@hotmail.ca,https://bowsmitharchery.com/,Mobile Arrow Tag service (archery dodgeball) for events. Equipment and basic instruction provided.,Mobile Event Service,Mon-Fri 6:00-9:00 PM; Sat 9:00 AM-9:00 PM (By Booking),N/A,Mobile service - no fixed range,N/A,Mobile/Event Service,N/A,N/A,N/A,N/A,N/A (Event-based booking),"$450 (Private/Youth Event, up to 16 players, 90 mins)",Yes,Yes,Basic instruction included in events; contact for individual lessons,"Compound, Recurve, Traditional",N/A
Nelson & District Rod & Gun Club,801 Railway St (Indoor); 124 Porto Rico Rd (Outdoor),Nelson,British Columbia,Canada,V1L 5P7 (Mailing),,,(250) 551-7414 (Alan) / (250) 551-7562 (Warren),Membership@nrgcbc.ca / nelsonbcarchery@gmail.com,http://www.nrgcbc.ca/,Indoor range (801 Railway St) and Outdoor range (Porto Rico Rd) with 14 stations. Masks required indoors.,Indoor/Outdoor,,,Indoor Range (5 archers); Outdoor (14 stations/15 targets),Outdoor: 7:30 AM-Dusk; Clubhouse: Wed-Sun 10 AM-3 PM (verify),$85 (Individual) / $110 (Family) / $30 (Junior),N/A (Membership required; guest fees apply),Yes (During Saturday beginner sessions),Beginner sessions (Sat 11 AM-Noon; contact Greg),Yes,,,,,,,
Boorman Archery,422A East Columbia St,New Westminster,British Columbia,Canada,V3L 3W9,49.2250476,-122.8929030,(604) 524-1674,boormanarchery@gmail.com,https://boormanarchery.com/,Pro shop and indoor range since 1964. Private/group lessons and 4-week adult courses available.,Indoor Pro Shop & Range,Tue-Sat 9:30 AM-5:00 PM; Sun-Mon Closed,N/A,Indoor Range (Recurve/Traditional/Compound),N/A,Indoor,Yes,N/A,N/A,N/A,N/A (Drop-in and Shooter Cards available),$20 (Traditional/Recurve drop-in); $25 (Compound drop-in),Yes (Not included with Shooter Cards),Yes,"Private/Group lessons ($45-$60/hr); Adult 4-week course ($119.99); Shooter Cards: $120 (Traditional / 8 sessions), $160 (Compound / 8 sessions)","Recurve, Compound, Longbow, Crossbow",N/A
North Shore Archers,"Brockton School (Indoor), 1150 Lynn Valley Rd",North Vancouver,British Columbia,Canada,V7J 1Z9 (Brockton School),49.3290132,-123.0534175,N/A,info@northshorearchers.org,http://www.northshorearchers.org,Pop-up club based in Brockton School gym. Range is set up/taken down each practice. BCAA membership mandatory.,Indoor (Pop-up),Tue 7-9 PM; Sat 10:30 AM-12:30 PM,N/A,Indoor Gym Range (Pop-up),N/A,Indoor (Pop-up),N/A,N/A,N/A,Yes (BCAA),$75 (Adult) / $45 (Junior) / $130 (Family) + BCAA Fee,Range fee each session,Yes ($10 Range Fee for members using club equipment),Yes,"Beginner intro lesson: $35 (1.5 hrs, equipment provided)","Recurve, Compound, Traditional",N/A
SOSA Archers - Southern Okanagan Sportsmen's Association,352 Sportsmen's Bowl Road (Outdoor); 5856 Cessna Street (Indoor),Oliver,British Columbia,Canada,V0H 1T5 (Outdoor),49.1833330,-119.5500000,(250) 498-4844 (Amos Realty for Membership),ost287642@gmail.com / mostermeier49@gmail.com,http://www.okanagansportsmen.com/archery.html,Indoor archery at Air Cadet Building (Oct+) and Outdoor range (365 days). Dedicated crossbow/broadhead areas. Active JOP.,Indoor/Outdoor,Outdoor: 8AM-9PM; Indoor: Mon & Thu nights (from 6 PM),N/A,"Outdoor: Crossbow butt, Broadhead pit, target butts; Indoor: Air Cadet Bldg",N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes (SOSA + BC Archery for JOP),$125 (Regular) / $165 (Family) / $95 (Junior) / $115 (Senior),$6-10 depending on membership,Yes ($5),Yes (JOP),Certified NCCP Coaches; JOP Youth Program (Thu),"Recurve, Compound, Crossbow (designated butt)",N/A
Arrowsmith Archers / Parksville-Qualicum Fish & Game,1245 Chattell Rd (Henry Range); 1979 Dorman Rd (Dorman Range),Parksville,British Columbia,Canada,V9P 2H1 (Mailing),49.3001728,-124.2616374,(250) 228-3877 (Office) / (250) 716-6431 (Caretaker),info@pqfg.org / arrowsmitharchers@shaw.ca,https://pqfg.org/,Indoor archery at Nanoose Pentecostal Camp (Sept-May) and two outdoor ranges (Henry & Dorman). Active JOP program.,Indoor/Outdoor,Indoor: Mon/Wed 6:00-8:00 PM; Outdoor: 9:00 AM-8:00 PM (Summer),N/A,Henry Range (10-70yds); Dorman Range (Field course & 3D),N/A,Indoor/Outdoor,N/A,Yes,Yes,Yes (PQFG),$130 (Regular) / $50 (Junior) + $35 Key Fee,First drop-in free,Yes,Yes,Certified Coaches at indoor sessions; JOP Youth Program,"Recurve, Compound, Crossbow (designated)",N/A
Penticton Archery Club / Penticton Shooting Sports,1787 Highway 97,Penticton,British Columbia,Canada,V2A 6K6 (Mailing),49.4940797,-119.6072556,(250) 328-8619 (Office) / (778) 930-7177 (Greg),gregghar66@gmail.com,https://www.pentictonshootingsports.com/archery/,"Indoor 20yd range (winter) and outdoor range (summer, 20-70yds). Greg Seib is the Director.",Indoor/Outdoor,Wed 7:00-9:00 PM; Sat 2:00-4:00 PM,N/A,Indoor: 20yds; Outdoor: 20-70yds,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$125 (Adult) / $165 (Family) / $80 (Junior/Student/Senior),$5.00 for non-members (per night),Yes (free on National Range Day),N/A,Informal assistance for beginners; no formal structured lessons listed,"Recurve, Compound, Traditional",N/A
Silvertip Archers - Indoor Range,835 Central St W,Prince George,British Columbia,Canada,V2M 3C6,53.917045,-122.782735,(778) 416-0674,silvertiparchers@gmail.com,https://silvertiparchers.ca/,Indoor range with 24/7 key access for members (6:30 AM - 11 PM). JOP youth program and development nights.,Indoor Range,Indoor: 6:30 AM - 11 PM daily; Outdoor: 8 AM - sunset (members),N/A,Indoor 18m/20yd range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$190 (Adult) / $130 (Junior) / $320 (Family) + BCAA Fee,$5.00 (Friday night drop-in - verify current status),Yes (Available during drop-in/lessons),Yes,JOP Program; Tuesday Development Night; Lessons available (contact for pricing),"Compound, Recurve, Traditional",N/A
Silvertip Archers - Outdoor,6390 Trans-Canada Hwy,Prince George,British Columbia,Canada,V2K 5C5,53.928195,-122.633846,(778) 416-0674,silvertiparchers@gmail.com,https://silvertiparchers.ca/,Outdoor facility with target and field ranges. Open from 8:00 AM until sunset.,Outdoor Range,8:00 AM - Sunset (members),N/A,Target & Field Ranges,N/A,Outdoor,N/A,N/A,Yes,Yes,$190 (Adult) / $130 (Junior) / $320 (Family) + BCAA Fee,N/A (Included in membership),No (Outdoor range requires own equipment),N/A,Club shoots and events,"Compound, Recurve, Traditional",N/A
Quesnel River Archers,160 Barlow Ave (Indoor); Campsite Rd (Outdoor); Sword Ave (Fita),Quesnel,British Columbia,Canada,V2J 3J4 (Mailing),52.9772321,-122.4969964,(250) 249-5623 (Dale Chapplow),quesnelriverarchers@gmail.com / dalechapplow2@gmail.com,https://www.facebook.com/groups/415123712208449,Club with indoor facility at Barlow Ave (18m rounds) and outdoor/Fita ranges. Hosts BC championships.,Indoor/Outdoor,Indoor sessions typically Sat/Sun morning & afternoon; Outdoor dawn-dusk,N/A,Indoor (18m); Outdoor (Pioneer Park); Fita Range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,N/A (Membership through Archery Canada/BC Archery; check for club fees),$5-$10 (Guest estimate based on local gun club; verify with Dale),Yes (Available for specific children/beginner programs),Yes,Children's archery program (K-12); Contact for adult lessons,"Compound, Recurve, Traditional",N/A
Richmond Rod and Gun Club - Indoor Archery Range,7400 River Rd,Richmond,British Columbia,Canada,V6X 1X5,49.180422,-123.140574,(604) 278-1101,N/A (Contact via website),https://richmondrodandgunclub.com/,Indoor archery range with scheduled drop-in nights and beginner lessons on Mondays. All bow types welcome.,Indoor Range,Mon/Wed/Thu/Fri 7:30 PM - 9:30 PM,N/A,Indoor Range,N/A,Indoor,N/A,N/A,N/A,Yes,$135-$165 (Typical Club Membership); Archery 5-pass $25,$18 (Non-member) / $6 (Member) / $12 (Youth),Yes ($12 full equipment rental),Yes,Beginner Lessons ($40 including gear; Mondays),"All bow types (Compound, Recurve, Traditional, Crossbow)",N/A
Gum Ying Richmond Archery Club,"4221 Shell Rd, Unit 160",Richmond,British Columbia,Canada,V6X 2W8,49.170509,-123.157968,(604) 338-3999,richmondarchery@hotmail.com,http://www.richmondarchery.com/,Large indoor archery range with certified instructors. Accommodates 70 people with 24 simultaneous shooting spots.,Indoor Range,Tue-Fri 3:30-8:15 PM; Sat 9:30 AM-6:15 PM; Sun 1:30-6:15 PM; Mon 3:30-6 PM,N/A,Indoor (18m; 24 shooting spots),24,Indoor,N/A,N/A,N/A,No,$35 (Yearly Membership Fee),$20/hr (Members gear) / $25/hr (w/ Recurve rental),Yes,Yes,Intro Session ($35); Family Session ($70); JOP ($666.75),"Recurve, Longbow (up to 45lbs), Compound (up to 60lbs)",Free parking underneath building
Bulkley Valley Bowmen,Behind Fall Fair Grounds (Outdoor); 7091 Kroeker Road (Indoor at BV Rod & Gun),Smithers,British Columbia,Canada,V0J 2N0 (Mailing),54.7792074,-127.1760991,(250) 877-8734 (Sam Cooper),membership@bvbowmen.ca / rentals@bvbowmen.com,https://www.bulkleyvalleybowmen.com/,Indoor archery at Rod & Gun club (Mon nights) and outdoor range along Bulkley River. Junior program available.,Indoor/Outdoor,Indoor Drop-in: Mon 6:30-9:30 PM (Jan-Apr); Outdoor: Dawn-Dusk,N/A,Indoor Range; Outdoor River-side Range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$57.80 (Individual) / $85.50 (Family),$10.00 (Indoor session fee for members),Yes (Available for events/socials),Yes,Junior Indoor Archery Program (Free for members' kids),"Compound, Recurve, Traditional",N/A
Squamish Valley Rod & Gun Club,2050 Centennial Way,Squamish,British Columbia,Canada,V8B 0A3,49.7286159,-123.1427405,N/A (Email preferred),archery@svrgc.org,https://svrgc.org/archery-home,Indoor sessions Wed (adults) & Fri (families); Outdoor range open year-round for members (9 AM - 9 PM).,Indoor/Outdoor,"Indoor: Wed 7:30-9 PM, Fri 7-9 PM; Outdoor: 9 AM-9 PM (members)",N/A,Indoor Range; Outdoor Range,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$125 (Adult Resident) / $165 (Adult Non-Resident) / $190 (Family),$5.00 (Adult Drop-in) / $2.00 (Junior Drop-in),Limited (guests),Yes,Junior Olympic Program (JOP); Certified instructors available.,"Compound, Recurve, Traditional",N/A
Sunshine Coast Rod and Gun Club,4384 Parkway Drive,Sechelt,British Columbia,Canada,V0N 3A1,49.4446553,-123.7149703,N/A (Email preferred),archery@scrgc.ca / info@scrgc.ca,https://scrgc.ca/Archery,Indoor and outdoor ranges. Weekly drop-in sessions on Saturdays. Private club accessible to members & guests.,Indoor/Outdoor,Drop-in: Sat 9:30-11:30 AM; Youth: Sat 11:30 AM-1 PM; Members: Sun 9:30 AM,N/A,Indoor Range; Outdoor Range; Trap/Skeet,N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes,$165 (Adult) / $175 (Bundle) / $40 (Junior) / $145 (Senior),$20.00 (Guest Fee) + $2.00 (Target Fee),Yes ($10.00 Non-members; $5.00 Members),Yes,Archery coordinators provide lessons and open house events.,"Compound, Recurve, Traditional",N/A
Semiahmoo Fish & Game Club / Semiahmoo Archers,1284 184th Street,Surrey,British Columbia,Canada,V3Z 9R9,49.0160557,-122.7182700,(604) 535-8366,archery.sfgc@gmail.com,https://www.sfgc.info/archery,"Indoor and outdoor ranges. Indoor drop-in (Mon/Thu), JOP youth program, adult lessons, and group events.",Indoor/Outdoor,Indoor: Mon/Thu 7:30-9:30 PM; Outdoor: Dawn-Dusk,N/A,Indoor Range; Outdoor targets (20-70 yards),N/A,Indoor/Outdoor,N/A,N/A,N/A,Yes for outdoor; Drop-in for indoor,$120 (Individual) / $150 (Family) / $50 (Junior) / $60 (Senior),$10.00 (Non-members) / $5.00 (Adult members) / $4.00 (Junior members),Yes,"Yes (JOP, Adult)",Adult Archery Classes; Junior Archery Program (JOP); Group Events,"Recurve, Compound, Crossbow (designated butt)",N/A
Terrace Whiskey-Jack Archers,Thornhill Junior Secondary (Indoor); 3577 Rifle Range Road (Outdoor),Terrace,British Columbia,Canada,V8G 3P1 (Outdoor),54.5172715,-128.5995480,N/A,b_gibson87@hotmail.com,https://www.terrace-archery.com/,Indoor range (Nov-Apr) and outdoor range adjacent to Rod & Gun Club. Active JOP program and annual 3D competition.,Indoor/Outdoor,Indoor season: Nov-Apr; Outdoor available year-round,N/A,Indoor Range; Outdoor Target & Field Ranges,N/A,Indoor/Outdoor,N/A,Yes,Yes,Yes,Check website for current fees,N/A,Yes (Available during JOP and specific sessions),Yes,Junior Olympic Program (JOP); Introductory coaching available,"Compound, Recurve, Traditional",N/A
West Kootenay Archers,3430 Casino Road (Casino Range),Trail,British Columbia,Canada,V1R 4X3,49.0935732,-117.6725616,N/A,WestKootenayarchers@gmail.com,https://www.facebook.com/westkootenayarchers,Casino Range managed by Trail Wildlife Association. Outdoor target and 3D courses (3 courses with 15 targets each).,Outdoor Range,Dawn to dusk; Check TWA range closure schedule,N/A,3 Outdoor 3D Courses (15 targets each),N/A,Outdoor,N/A,Yes,N/A,Yes,Requires WKA or TWA Membership (approx. $20-$40 for events),$10-$20 (Event-based drop-in),No,Yes,Occasional archery days and instruction; summer camps for youth,"Traditional, Compound",N/A
UBC Archers,6108 Thunderbird Boulevard (Osborne Building),Vancouver,British Columbia,Canada,V6T 1Z3,49.2602844,-123.2437201,N/A,ubcarchers@gmail.com,https://ubcarchery.ca/,"University club open to students, alumni, and local community. Weekly indoor sessions during winter terms.",Indoor Range,Mon 5-7 PM (during winter terms),N/A,Indoor Range (Osborne Gym),N/A,Indoor,N/A,N/A,N/A,Yes (term membership),$65 (Alumni/Community members),$15 (Non-members),Yes (provided),Yes,Beginner lessons included with membership info,"Recurve, Compound, Traditional",N/A
