post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Vermilion River Archers,Admin,Archery Range,Verified,The Armouries Building,Vermilion,Alberta,Canada,,53.3533,-110.8522,780-581-3888,,https://www.facebook.com/groups/471301010064186,"Vermilion River Archers offers a premier indoor archery club operating out of the Historic Armouries building. We provide a fantastic 20-yard indoor range dedicated to improving precision, form, and bowhunting skills for all Alberta archery enthusiasts.",Indoor,N/A,,20.0,,Indoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Jim-Bows Archery Calgary,Admin,Archery Range,Verified,620 46 Ave NE #102,Calgary,Alberta,Canada,T2E 8M9,51.0942,-114.0454,403-250-7713,info@jimbowsarchery.ca,https://jimbowsarchery.ca/,"Jim-Bows Archery Calgary is your one-stop pro shop and 10-lane indoor archery range. We provide premium bow tuning, 3D targets, and exceptional equipment sales for all skill levels. Visit our Calgary facility for top-rated archery retail and 20-yard target practice.","Indoor, 3D, Pro Shop","Tue-Fri 10AM-8PM, Sat 10AM-5PM",,20.0,10,Indoor,Yes,Yes,No,No,,"$14.99 adult, $9.99 youth",Yes,Yes,,All,Standard,Yes
Archery World Calgary,Admin,Archery Range,Verified,3420 12th St NE #106,Calgary,Alberta,Canada,T2E 6N1,51.0834,-114.0254,403-910-6662,store@archeryworld.ca,https://archeryworld.ca/,"Archery World Calgary is a top-tier indoor range and archery retailer offering 20, 30, and 40-yard lanes. From combat archery to standard target practice, we supply Calgary archers with exceptional equipment and expert bow services in an unbeatable indoor environment.","Indoor, Combat","Mon-Fri 10AM-9PM, Weekends 10AM-6PM",,40.0,Multiple 20yd targets,Indoor,Yes,Yes,No,No,,"$22 adult, $10 youth",Yes,Yes,,All,Standard,Yes
CDTSA Milo Range,Admin,Archery Range,Verified,Southwest of Milo,Milo,Alberta,Canada,,50.5667,-112.8667,,info@cdtsa.ca,https://cdtsa.ca/,"CDTSA Milo Range is an exclusive 160-acre outdoor shooting facility featuring dedicated archery bays. Located southwest of Milo, Alberta, members enjoy premier outdoor target practice every day of the week in a beautifully maintained rural environment.",Outdoor,9-9 Daily,,,,Outdoor,No,No,No,Yes,,,No,No,,All,Standard,Yes
Cochrane Archery Club,Admin,Archery Range,Verified,RR 1 Site 13 Box 11,Cochrane,Alberta,Canada,T4C 1A1,51.1892,-114.4678,403-932-4143,info@cochranearchery.ca,https://cochranearchery.ca/,"Cochrane Archery Club is a fantastic non-profit facility featuring 10-40m indoor lanes and a dedicated 50m outdoor 3D range. Ideal for all bow types, our Cochrane club provides regular shooting nights, family programs, and exceptional bowhunting preparation.","Indoor, Outdoor, 3D",Mon/Thu 7-9,,50.0,,Indoor/Outdoor,No,Yes,No,Yes,,Members only,Yes,Yes,,All,Standard,Yes
AHEIA Archery Range,Admin,Archery Range,Verified,AHEIA Conservation Center,Calgary,Alberta,Canada,,51.0447,-114.0719,403-256-0665,cfc@aheia.com,https://aheia.com/,"The AHEIA Archery Range, situated on an 80-acre conservation center in Calgary, provides a scenic, safe, and professional outdoor target environment. Designed for all bow disciplines, it serves as a central hub for ethical bowhunting education and traditional archery.",Outdoor,,,,,Outdoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Jim-Bows Archery Edmonton,Admin,Archery Range,Verified,13955 156 St NW,Edmonton,Alberta,Canada,T6V 1J1,53.6014,-113.5854,780-488-7705,edmonton@jimbowsarchery.ca,https://jimbowsarchery.ca/,"Jim-Bows Archery Edmonton offers 10 indoor 20-yard target lanes and a premier archery pro shop. Specializing in top-tier bows, expert tuning, and personalized instruction, we are the ultimate destination for Edmonton archers to perfect their shot and acquire elite gear.","Indoor, Pro Shop","Tue-Fri 10AM-8PM, Sat 10AM-5PM",,20.0,10,Indoor,Yes,No,No,No,,"$14.99 adult, $9.99 youth",Yes,Yes,,All,Standard,Yes
Capital Region Archery Club,Admin,Archery Range,Verified,5618 76 Ave NW,Edmonton,Alberta,Canada,T6B 0A6,53.5114,-113.4254,780-450-6041,crac.membership@gmail.com,https://crarchery.ca/,"The Capital Region Archery Club is Edmonton's volunteer-run, 24-hour members-only indoor archery range. With 20-yard lanes and a welcoming community of traditional, recurve, and compound archers, it is the perfect place for year-round, weather-proof archery refinement.",Indoor,24/7 Members,,20.0,,Indoor,No,No,No,Yes,,Members only,No,Yes,,All,Standard,Yes
Camrose Shooting Sports Association,Admin,Archery Range,Verified,CSSA Grounds,Camrose,Alberta,Canada,,53.0233,-112.8333,,cssa2014@hotmail.com,https://camroseshootingsports.ca/,"Camrose Shooting Sports Association provides an excellent indoor/outdoor range dedicated to recreational archery and target practice. Located in Camrose, Alberta, our facility accommodates scheduled shooting sessions for local bowhunters and archers looking to sharpen their accuracy.",Indoor,N/A,,20.0,,Indoor/Outdoor,No,No,No,Yes,,,No,No,,All,Standard,Yes
Lloydminster & Area Archers,Admin,Archery Range,Verified,LAA Youth Center,Lloydminster,Alberta,Canada,,53.2783,-110.005,,membership.lloydarchers@gmail.com,https://lloydarchers.ca/,"Lloydminster & Area Archers operates a versatile indoor/outdoor archery destination. Featuring an 18-lane 40-yard indoor range and a seasonal outdoor 3D course, we offer premium bowhunting practice and youth archery development for the Lloydminster community.","Indoor, Outdoor, 3D",Tuesdays & Thursdays 7-9PM,,40.0,18,Indoor/Outdoor,No,Yes,Yes,Yes,,,No,Yes,,All,Standard,Yes
Storm Mountain Outfitters,Admin,Archery Range,Verified,101-4204 38th Street,Stettler,Alberta,Canada,T0C 2L0,52.3167,-112.7167,403-740-3000,info@stormmountainoutfitters.ca,https://stormmountainoutfitters.ca/,"Storm Mountain Outfitters in Stettler is central Alberta's premier commercial indoor archery range and professional pro shop. Enjoy expert outfitting, dedicated indoor target lanes, and premium bowhunting gear explicitly tailored to local Alberta hunters and archers.","Indoor, Pro Shop",Mon-Sat 9AM-6PM,,,,Indoor,Yes,No,No,No,,Retail/Pro Shop,No,No,,All,Standard,Yes
Grande Central Archery,Admin,Archery Range,Verified,4622 61 Street Unit 7,Red Deer,Alberta,Canada,,52.2681,-113.8111,587-272-0753,grandecentralarchery@gmail.com,https://grandecentralarchery.ca/,"Grande Central Archery in Red Deer is a premier indoor range and full-service pro shop. We feature specialized 20-yard and 35-yard target lanes, expert equipment tuning, and everything you need for the ultimate traditional or compound archery experience.","Indoor, Pro Shop",,,35.0,,Indoor,Yes,No,No,No,,,Yes,Yes,,All,Standard,Yes
Red Deer Fish and Game Association,Admin,Archery Range,Verified,RDFGA Grounds,Red Deer,Alberta,Canada,,52.2681,-113.8111,403-588-5108,archery@reddeerfishandgame.com,https://reddeerfishandgame.com/,"The Red Deer Fish and Game Association operates a comprehensive outdoor shooting facility complete with dedicated archery sections. It is the ideal outdoor destination for central Alberta archers looking to test their skills in an expansive, natural setting.",Outdoor,N/A,,,,Outdoor,No,No,No,Yes,,,No,No,,All,Standard,Yes
Medicine Hat SAAMIS Archers,Admin,Archery Range,Verified,Medicine Hat Archery Club,Medicine Hat,Alberta,Canada,T1A 0H1,50.0411,-110.6778,403-548-2926,medhatarcheryclub@gmail.com,https://www.medicinehatarcheryclub.com/,"Medicine Hat SAAMIS Archers provides exceptional 24/7 indoor target access alongside an expansive 100-yard outdoor range. Ideal for dedicated bowhunters, our Medicine Hat club guarantees the ultimate year-round shooting experience for both compound and traditional archers.","Indoor, Outdoor",24/7 Members,,100.0,,Indoor/Outdoor,No,No,No,Yes,,Members only,No,Yes,,All,Standard,Yes
Dragon Flight Archery,Admin,Archery Range,Verified,Range Rd 55,Cremona,Alberta,Canada,T0M 0R0,51.5439,-114.4886,403-637-0266,dragonflightarchery@protonmail.com,https://dragonflightarchery.co/,"Dragon Flight Archery in Cremona is an exceptional indoor/outdoor archery destination featuring pro shop services, bow rentals, and a challenging 3D course. Nestled in the foothills, we offer Hoyt, Mathews, and Bowtech gear for a superior bowhunting experience.",Indoor/Outdoor,,,,,Indoor/Outdoor,Yes,Yes,Yes,No,,,Yes,Yes,,All,Foothills,Yes
Picture Butte Archery Association,Admin,Archery Range,Verified,Coulees Near Picture Butte,Picture Butte,Alberta,Canada,,49.8833,-112.7833,403-332-1375,thebushman40@yahoo.ca,https://pbfishandgame.com/,"The Picture Butte Archery Association hosts thrilling outdoor 3D coulee shoots and provides excellent indoor range access during winter. From junior programs to senior leagues, our Southern Alberta facility is a cornerstone for all archery skill development.","Outdoor, 3D",,,,,Indoor/Outdoor,No,Yes,No,Yes,,,No,Yes,,All,Coulees,Yes
Ponoka & Area Archers Club,Admin,Archery Range,Verified,"Moose Hall, 5000 AB-2A",Ponoka,Alberta,Canada,T4J 1R7,52.6667,-113.5833,403-783-1723,paacmemberfees@gmail.com,https://ponokaandareaarchersclub.ca/,The Ponoka & Area Archers Club features a well-maintained 20-yard indoor range directly at the Moose Hall in Ponoka. We organize regular family target practice and promote a strong local community of dedicated traditional and compound bow enthusiasts.,Indoor,,,20.0,,Indoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Foothills Archery Club,Admin,Archery Range,Verified,Millarville Area,Millarville,Alberta,Canada,,50.7333,-114.2833,,fac.directors@gmail.com,https://foothillarcheryclub.wordpress.com/,"The Foothills Archery Club, located in Millarville, is an incredible volunteer-driven, non-profit organization focused on exhilarating outdoor 3D archery. Our natural terrain range delivers unmatched bowhunting simulation and practice for dedicated Southern Alberta archers.","Outdoor, 3D",,,,,Outdoor,No,Yes,No,Yes,,,No,Yes,,All,Standard,Yes
Carbon Archery Range,Admin,Archery Range,Verified,237 Caradoc Ave,Carbon,Alberta,Canada,T0M 0L0,51.4878,-113.1553,403-823-1963,carboncurlingclub.ag@gmail.com,https://kneehillcounty.com/,"Located in the Carbon Curling Rink, the Carbon Archery Range ensures fantastic indoor archery practice during the off-season. Offering 20-yard targets in a comfortable, weather-proof environment, we guarantee quality practice for archers of all experience levels.",Indoor,,,20.0,,Indoor,No,No,No,Yes,,,No,No,,All,Standard,Yes
Garrison Archery Club,Admin,Archery Range,Verified,CFB Edmonton Range,Sturgeon County,Alberta,Canada,T0A 2H0,53.6667,-113.4667,,Darryl.Poisson@forces.gc.ca,https://cfmws.ca/,"The Garrison Archery Club serves military members and civilians at CFB Edmonton. Operating a top-tier outdoor archery range, we promote precision target practice and competitive sportsmanship for all bow platforms within the Sturgeon County region.",Outdoor,,,,,Outdoor,No,No,No,Yes,,,No,No,,All,CFB Base,Yes
Cabela's Edmonton North,Admin,Archery Range,Verified,15320 37 St NW,Edmonton,Alberta,Canada,T5Y 0S5,53.6167,-113.3833,780-670-6100,info@cabelas.ca,https://cabelas.ca/,"Cabela's Edmonton North provides exceptional retail expertise combined with dedicated indoor archery test lanes. Conveniently located at 15320 37 St NW, our expert staff will assist you in tuning, testing, and finding the perfect bow for your next hunt.","Indoor, Retail",,,20.0,,Indoor,Yes,No,No,No,,,Yes,No,,All,Standard,Yes
Cabela's Edmonton South,Admin,Archery Range,Verified,6150 Currents Dr NW,Edmonton,Alberta,Canada,T6W 0L7,53.4333,-113.6,780-628-9200,info@cabelas.ca,https://cabelas.ca/,"Located at Currents Drive, Cabela's Edmonton South features exclusive indoor archery test lanes and an extensive pro shop selection. It's the ideal destination to experience new bows and perfect your target accuracy before hitting the field.","Indoor, Retail",,,20.0,,Indoor,Yes,No,No,No,,,Yes,No,,All,Standard,Yes
CHAS Genesee Range,Admin,Archery Range,Verified,3356 TWP RD 510,Leduc County,Alberta,Canada,,53.3333,-114.2833,,archery@historical-arms.com,https://historical-arms.com/,"The CHAS Genesee Range in Leduc County features a comprehensive outdoor shooting complex complete with dedicated archery test lanes. Accommodating all bow types, our massive outdoor range provides unparalleled practice limits for Alberta sports shooters.",Outdoor,,,,,Outdoor,No,No,No,Yes,,,No,No,,All,Standard,Yes
Lethbridge Bowbenders Archery Club,Admin,Archery Range,Verified,1019 12B St N,Lethbridge,Alberta,Canada,,49.7042,-112.808,403-327-9964,lethbridgebowbenders@gmail.com,https://lethbridgebowbenders.com/,"The Lethbridge Bowbenders Archery Club operates a dedicated 20-yard indoor archery facility focusing on competitive target practice and youth development. Our fantastic Lethbridge range ensures skill advancement for dedicated recurve, compound, and traditional archers year-round.",Indoor,,,20.0,,Indoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Lethbridge Fish and Game Association,Admin,Archery Range,Verified,Peenaquim Park,Lethbridge,Alberta,Canada,,49.7214,-112.8354,403-382-0914,range.operator@lfga.club,https://lethbridgefishandgame.ca/,"The Lethbridge Fish and Game Association maintains a sprawling outdoor sports facility featuring premier 3D and target archery ranges. Set in Peenaquim Park, members enjoy pristine access to diverse terrains to test their compound and traditional bowhunting skills.","Outdoor, 3D",Member access,,,,Outdoor,No,Yes,No,Yes,,Members only,No,No,,All,Standard,Yes
Heisler Archery Club,Admin,Archery Range,Verified,302 Haultain Ave,Heisler,Alberta,Canada,,52.6414,-112.2086,780-678-0599,,https://villageofheisler.ca/,"The Heisler Archery Club provides a high-quality seasonal indoor target range inside the Heisler Bowling Alley. Operating from November to April, it is the perfect sanctuary for central Alberta archers to hone their 20-yard accuracy escaping the winter weather.",Indoor,Seasonal,,20.0,,Indoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Taber Shooting Foundation Archery,Admin,Archery Range,Verified,104083 HWY 864,Taber,Alberta,Canada,T0K 0B0,49.7833,-112.15,403-634-4958,secretary@shoot-taber.org,https://taberrange-md.com/,"The Taber Shooting Foundation Archery encompasses an expansive, 100-yard outdoor 3D archery range within the MD of Taber Sport Shooting Complex. By offering a premier target environment, it serves as Southern Alberta's leading hub for dedicated bowhunters and target archers.","Outdoor, 3D",,,100.0,,Outdoor,No,Yes,No,Yes,,,No,No,,All,Standard,Yes
